1	Trae Young	ATL	PG	6-1	180	9/19/1998 (22)	1	60	35.3	9.1	20.8	.437	3.4	9.5	.361	8.0	9.3	.860	4.8	1.7	0.5	3.7	4.2	9.3	1.1	0.1	29.6
2	John Collins	ATL	PF	6-9	235	9/23/1997 (23)	2	41	33.2	8.6	14.8	.583	1.4	3.6	.401	2.9	3.7	.800	1.8	3.4	2.8	7.3	10.1	1.5	0.8	1.6	21.6
4	De'Andre Hunter	ATL	SF	6-7	225	12/2/1997 (22)	R	63	32.0	4.4	10.8	.410	1.7	4.8	.355	1.7	2.3	.764	1.6	2.9	0.7	3.8	4.5	1.8	0.7	0.3	12.3
5	Kevin Huerter	ATL	SG	6-7	190	8/27/1998 (22)	1	56	31.4	4.5	10.9	.413	2.3	6.0	.380	0.9	1.1	.828	1.6	2.5	0.6	3.4	4.1	3.8	0.9	0.5	12.2
6	Cam Reddish	ATL	SG	6-8	218	9/1/1999 (21)	R	58	26.7	3.7	9.6	.384	1.4	4.3	.332	1.7	2.2	.802	1.7	2.3	0.6	3.1	3.7	1.5	1.1	0.5	10.5
8	Dewayne Dedmon	ATL	C	7-0	245	8/12/1989 (31)	6	10	23.3	3.3	8.4	.393	0.8	3.6	.222	0.7	0.8	.875	1.0	4.0	1.4	6.8	8.2	0.7	1.0	1.5	8.1
9	Jeff Teague	ATL	PG	6-3	195	6/10/1988 (32)	10	25	20.8	2.7	6.6	.412	0.4	1.2	.333	1.9	2.1	.887	1.6	1.4	0.5	1.7	2.2	4.0	0.8	0.2	7.7
10	Brandon Goodwin	ATL	PG	6-0	180	10/2/1995 (24)	1	34	12.7	2.2	5.6	.400	0.8	2.6	.299	0.8	0.9	.933	0.9	1.3	0.3	1.8	2.1	1.5	0.4	0.1	6.1
11	DeAndre' Bembry	ATL	SG	6-5	210	7/4/1994 (26)	3	43	21.3	2.4	5.3	.456	0.3	1.5	.231	0.6	1.1	.542	1.4	2.0	0.8	2.7	3.5	1.9	1.3	0.4	5.8
12	Damian Jones	ATL	C	6-11	245	6/30/1995 (25)	3	55	16.1	2.2	3.2	.680	0.0	0.2	.222	1.1	1.5	.738	0.5	2.7	1.3	2.4	3.7	0.6	0.5	0.7	5.6
14	Vince Carter	ATL 	SG	6-6	220	1/26/1977 (43)	21	60	14.6	1.8	5.1	.352	1.0	3.4	.302	0.4	0.5	.793	0.6	1.5	0.3	1.8	2.1	0.8	0.4	0.4	5.0
15	Bruno Fernando	ATL	C	6-9	240	8/15/1998 (22)	R	56	12.7	1.8	3.6	.518	0.1	0.7	.135	0.5	0.9	.569	0.8	1.9	1.2	2.3	3.5	0.9	0.3	0.3	4.3
16	Treveon Graham	ATL	SF	6-5	219	10/28/1993 (26)	3	22	12.1	1.1	3.0	.373	0.6	1.7	.351	0.4	0.9	.474	0.5	1.6	1.0	1.3	2.3	0.7	0.3	0.2	3.3
20	Charlie Brown	ATL	SG	6-6	199	2/2/1997 (23)	R	10	4.0	0.6	1.9	.316	0.3	0.9	.333	0.5	0.5	1.000	0.3	0.3	0.2	0.2	0.4	0.2	0.2	0.2	2.0
21	Clint Capela	ATL	C	6-10	240	5/18/1994 (26)	5	39	32.8	6.3	9.9	.629	0.0	0.0	.000	1.4	2.7	.529	1.6	2.6	4.3	9.5	13.8	1.2	0.8	1.8	13.9
