1	Jayson Tatum	BOS	PF	6-8	210	3/3/1998 (22)	2	66	34.3	8.4	18.6	.450	2.9	7.1	.403	3.8	4.7	.812	2.3	2.1	1.0	6.0	7.0	3.0	1.4	0.9	23.4
2	Kemba Walker	BOS	PG	6-0	184	5/8/1990 (30)	8	56	31.1	6.8	15.9	.425	3.2	8.4	.381	3.7	4.3	.864	2.1	1.6	0.6	3.2	3.9	4.8	0.9	0.5	20.4
3	Jaylen Brown	BOS	SG	6-6	223	10/24/1996 (23)	3	57	33.9	7.5	15.6	.481	2.3	5.9	.382	3.1	4.3	.724	2.2	2.9	1.1	5.3	6.4	2.1	1.1	0.4	20.3
4	Gordon Hayward	BOS	SF	6-7	225	3/23/1990 (30)	9	52	33.5	6.7	13.5	.500	1.6	4.3	.383	2.4	2.8	.855	1.8	1.8	1.1	5.6	6.7	4.1	0.7	0.4	17.5
5	Marcus Smart	BOS	PG	6-3	220	3/6/1994 (26)	5	60	32.0	4.3	11.4	.375	2.3	6.6	.347	2.1	2.5	.836	1.7	2.7	0.7	3.0	3.8	4.8	1.7	0.5	12.9
6	Daniel Theis	BOS	C	6-8	245	4/4/1992 (28)	2	65	24.1	3.7	6.6	.566	0.5	1.5	.333	1.3	1.8	.763	0.8	3.4	2.2	4.4	6.6	1.7	0.6	1.3	9.2
7	Enes Kanter	BOS	C	6-10	250	5/20/1992 (28)	8	58	17.0	3.4	6.0	.572	0.0	0.1	.143	1.2	1.7	.707	1.0	1.7	2.8	4.6	7.4	1.0	0.4	0.7	8.1
8	Brad Wanamaker	BOS	PG	6-3	210	7/25/1989 (31)	1	71	19.3	2.3	5.1	.448	0.5	1.4	.363	1.8	1.9	.926	1.1	1.9	0.3	1.7	2.0	2.5	0.9	0.2	6.9
9	Robert Williams	BOS	C	6-8	237	10/17/1997 (22)	1	29	13.4	2.2	3.0	.727	0.0	0.0	.000	0.8	1.2	.647	0.7	1.8	1.4	3.0	4.4	0.9	0.8	1.2	5.2
10	Tremont Waters	BOS	PG	5-10	175	1/10/1998 (22)	R	11	10.8	1.3	4.5	.286	0.4	2.2	.167	0.7	0.7	1.000	1.4	1.2	0.0	1.1	1.1	1.5	0.9	0.2	3.6
11	Grant Williams	BOS	PF	6-6	236	11/30/1998 (21)	R	69	15.1	1.3	3.1	.412	0.3	1.4	.250	0.6	0.8	.722	0.7	2.4	0.9	1.7	2.6	1.0	0.4	0.5	3.4
12	Semi Ojeleye	BOS	PF	6-6	240	12/5/1994 (25)	2	69	14.6	1.2	2.8	.408	0.7	1.8	.378	0.4	0.5	.875	0.3	1.2	0.4	1.7	2.1	0.5	0.3	0.1	3.4
13	Javonte Green	BOS	SG	6-4	205	7/23/1993 (27)	R	48	9.7	1.3	2.6	.500	0.2	0.7	.273	0.6	0.9	.667	0.5	0.9	0.5	1.4	1.9	0.5	0.5	0.2	3.4
14	Tacko Fall	BOS	C	7-5	311	12/10/1995 (24)	R	7	4.6	1.6	2.0	.786	0.0	0.0	.000	0.1	0.4	.333	0.4	1.0	0.1	2.0	2.1	0.1	0.1	0.6	3.3
15	Carsen Edwards	BOS	PG	5-11	200	3/12/1998 (22)	R	37	9.5	1.1	3.5	.328	0.6	2.1	.316	0.4	0.5	.684	0.4	0.9	0.2	1.1	1.3	0.6	0.3	0.1	3.3
16	Romeo Langford	BOS	SG	6-4	216	10/25/1999 (20)	R	32	11.6	0.9	2.5	.350	0.2	0.8	.185	0.6	0.8	.720	0.3	1.0	0.5	0.8	1.3	0.4	0.2	0.2	2.5
17	Vincent Poirier	BOS	C	7-0	235	10/17/1993 (26)	R	22	5.9	0.8	1.6	.472	0.0	0.1	.500	0.3	0.3	.857	0.4	1.1	0.6	1.4	2.0	0.4	0.1	0.4	1.9
