1	Collin Sexton	CLE	PG	6-1	190	1/4/1999 (21)	1	65	33.0	7.9	16.7	.472	1.5	3.9	.380	3.5	4.1	.846	2.4	2.2	0.9	2.2	3.1	3.0	1.0	0.1	20.8
2	Kevin Love	CLE	PF	6-8	251	9/7/1988 (32)	11	56	31.8	5.8	13.0	.450	2.6	7.0	.374	3.3	3.9	.854	2.5	1.6	1.0	8.8	9.8	3.2	0.6	0.3	17.6
3	Andre Drummond	CLE	C	6-10	279	8/10/1993 (27)	7	8	28.1	7.2	13.1	.552	0.5	1.8	.286	2.5	4.9	.513	3.6	3.1	3.0	8.1	11.1	1.8	1.5	1.4	17.5
5	Darius Garland	CLE	PG	6-1	192	1/26/2000 (20)	R	59	30.9	4.7	11.8	.401	1.8	5.0	.355	1.1	1.2	.875	2.6	1.6	0.5	1.4	1.9	3.9	0.7	0.1	12.3
6	Tristan Thompson	CLE	C	6-9	254	3/13/1991 (29)	8	57	30.2	5.1	9.9	.512	0.2	0.4	.391	1.7	2.8	.615	1.8	2.2	4.0	6.2	10.1	2.1	0.6	0.9	12.0
7	Cedi Osman	CLE	SF	6-7	230	4/8/1995 (25)	2	65	29.4	4.1	9.4	.437	1.9	4.9	.383	1.0	1.4	.670	1.4	2.5	0.6	3.0	3.6	2.4	0.8	0.2	11.0
8	Larry Nance, Jr.	CLE	PF	6-7	245	1/1/1993 (27)	4	56	26.3	4.1	7.7	.531	1.0	2.8	.352	0.9	1.3	.676	1.1	1.6	1.9	5.4	7.3	2.2	1.0	0.4	10.1
9	Kevin Porter, Jr.	CLE	SG	6-4	203	5/4/2000 (20)	R	50	23.2	3.7	8.4	.442	1.1	3.2	.335	1.5	2.0	.723	1.9	2.7	0.4	2.8	3.2	2.2	0.9	0.3	10.0
10	Dante Exum	CLE	PG	6-5	214	7/13/1995 (25)	4	24	16.8	1.9	4.0	.479	0.5	1.5	.351	1.2	1.7	.732	0.9	1.2	0.4	1.9	2.3	1.4	0.5	0.2	5.6
11	John Henson	CLE						29	14.2	2.1	4.1	.508	0.2	1.1	.194	0.6	1.1	.515	0.7	1.9	1.1	2.8	3.9	1.5	0.6	1.1	5.0
12	Brandon Knight	CLE						16	15.1	1.8	5.4	.326	1.2	4.0	.297	0.2	0.8	.308	1.0	1.2	0.2	1.1	1.2	1.9	0.3	0.1	4.9
13	Alfonzo McKinnie	CLE	SF	6-7	215	9/17/1992 (28)	2	40	14.8	1.8	4.3	.427	0.3	1.6	.215	0.6	0.8	.710	0.7	1.8	0.9	1.9	2.8	0.3	0.6	0.2	4.5
14	Ante Zizic	CLE	C	6-10	266	1/4/1997 (23)	2	22	10.0	1.9	3.3	.569	0.0	0.0	.000	0.6	0.9	.737	0.5	1.2	0.8	2.2	3.0	0.3	0.3	0.2	4.4
15	Matt Dellavedova	CLE	PG	6-3	200	9/8/1990 (30)	6	57	14.4	1.1	3.1	.354	0.4	1.6	.231	0.6	0.6	.865	1.0	1.4	0.3	1.0	1.3	3.2	0.4	0.0	3.1
16	Malik Newman	CLE	SG	6-3	190	2/21/1997 (23)	R	1	3.7	0.0	2.0	.000	0.0	1.0	.000	2.0	2.0	1.000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
17	Tyler Cook	CLE						11	3.2	0.6	0.9	.700	0.0	0.0	.000	0.5	0.5	.833	0.1	0.4	0.4	0.5	0.9	0.1	0.1	0.0	1.7
18	Dean Wade	CLE	PF	6-9	228	11/20/1996 (23)	R	12	6.0	0.8	1.1	.692	0.2	0.3	.500	0.0	0.1	.000	0.2	0.7	0.2	1.3	1.6	0.2	0.2	0.3	1.7
19	Matt Mooney	CLE	SG	6-3	200	2/7/1995 (25)	R	4	4.7	0.2	1.0	.250	0.0	0.5	.000	0.0	0.0	.000	0.0	0.2	0.0	0.8	0.8	0.2	0.5	0.2	0.5
20	Marques Bolden	CLE						1	2.8	0.0	0.0	.000	0.0	0.0	.000	0.0	0.0	.000	0.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0
21	J.P. Macura	CLE	SG	6-5	205	6/5/1995 (25)	1	1	0.6	0.0	0.0	.000	0.0	0.0	.000	0.0	0.0	.000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
