1	Nikola Jokic	DEN	C	7-0	284	2/19/1995 (25)	4	73	32.0	7.7	14.7	.528	1.1	3.5	.314	3.4	4.1	.817	3.1	3.0	2.3	7.5	9.7	7.0	1.2	0.6	19.9
2	Jamal Murray	DEN	PG	6-4	215	2/23/1997 (23)	3	59	32.3	6.9	15.2	.456	1.9	5.5	.346	2.8	3.1	.881	2.2	1.7	0.8	3.2	4.0	4.8	1.1	0.3	18.5
3	Will Barton	DEN	SF	6-5	181	1/6/1991 (29)	7	58	33.0	5.7	12.7	.450	1.9	5.0	.375	1.8	2.3	.767	1.5	2.1	1.3	5.0	6.3	3.7	1.1	0.5	15.1
4	Jerami Grant	DEN	PF	6-8	210	3/12/1994 (26)	5	71	26.6	4.3	8.9	.478	1.4	3.5	.389	2.1	2.8	.750	0.9	2.2	0.8	2.7	3.5	1.2	0.7	0.8	12.0
5	Paul Millsap	DEN	PF	6-7	257	2/10/1985 (35)	13	51	24.3	4.1	8.6	.482	1.1	2.4	.435	2.3	2.8	.816	1.4	2.9	1.9	3.8	5.7	1.6	0.9	0.6	11.6
6	Gary Harris	DEN	SG	6-4	210	9/14/1994 (26)	5	56	31.8	3.9	9.3	.420	1.2	3.8	.333	1.3	1.6	.815	1.1	2.1	0.5	2.4	2.9	2.1	1.4	0.2	10.4
7	Michael Porter, Jr.	DEN	PF	6-10	218	6/29/1998 (22)	R	55	16.4	3.5	7.0	.509	1.1	2.7	.422	1.1	1.3	.833	0.9	1.8	1.2	3.5	4.7	0.8	0.5	0.5	9.3
8	Monte Morris	DEN	PG	6-2	183	6/27/1995 (25)	2	73	22.4	3.6	7.8	.459	0.9	2.4	.378	1.0	1.2	.843	0.7	1.0	0.3	1.5	1.9	3.5	0.8	0.2	9.0
9	Malik Beasley	DEN						41	18.2	2.9	7.3	.389	1.4	3.9	.360	0.8	0.9	.868	0.9	1.2	0.2	1.7	1.9	1.2	0.8	0.1	7.9
10	Mason Plumlee	DEN	PF	6-11	254	3/5/1990 (30)	6	61	17.3	2.9	4.7	.615	0.0	0.1	.000	1.4	2.5	.535	1.3	2.3	1.6	3.6	5.2	2.5	0.5	0.6	7.2
11	P.J. Dozier	DEN	PG	6-6	205	10/25/1996 (23)	2	29	14.2	2.2	5.4	.414	0.6	1.7	.347	0.7	1.0	.724	0.9	1.6	0.3	1.6	1.9	2.2	0.5	0.2	5.8
12	Bol Bol	DEN	C	7-2	220	11/16/1999 (20)	R	7	12.4	2.0	4.0	.500	0.6	1.3	.444	1.1	1.4	.800	1.4	1.6	0.7	2.0	2.7	0.9	0.3	0.9	5.7
13	Torrey Craig	DEN	SF	6-7	221	12/19/1990 (29)	2	58	18.5	2.1	4.6	.461	0.8	2.4	.326	0.4	0.6	.611	0.4	2.3	1.1	2.2	3.3	0.8	0.4	0.6	5.4
14	Keita Bates-Diop	DEN	SF	6-8	229	1/23/1996 (24)	1	7	14.0	1.9	4.0	.464	0.4	1.3	.333	1.1	1.4	.800	0.4	1.0	0.6	1.9	2.4	0.0	0.3	0.6	5.3
15	Troy Daniels	DEN	SG	6-4	200	7/15/1991 (29)	6	6	12.7	1.7	4.7	.357	1.0	3.3	.300	0.0	0.0	.000	0.5	1.2	0.0	1.0	1.0	0.5	0.5	0.0	4.3
16	Juancho Hernangomez	DEN						34	12.4	1.1	3.2	.345	0.4	1.8	.250	0.5	0.7	.640	0.5	0.9	0.7	2.1	2.8	0.6	0.1	0.1	3.1
17	Jordan McRae	DEN						4	8.1	0.5	1.5	.333	0.5	1.0	.500	0.8	1.0	.750	0.0	0.5	0.2	1.0	1.2	1.0	0.5	0.2	2.2
18	Tyler Cook	DEN	PF	6-8	255	9/23/1997 (23)	R	2	9.6	0.5	1.0	.500	0.0	0.0	.000	1.0	1.0	1.000	1.0	0.5	1.0	1.0	2.0	0.0	1.0	0.0	2.0
19	Noah Vonleh	DEN	PF	6-10	257	8/24/1995 (25)	5	7	4.3	0.7	0.9	.833	0.1	0.1	1.000	0.3	0.6	.500	0.3	0.6	0.4	0.7	1.1	0.3	0.0	0.0	1.9
20	Vlatko Cancar	DEN	SF	6-8	236	4/10/1997 (23)	R	14	3.2	0.4	1.1	.400	0.1	0.4	.167	0.3	0.3	1.000	0.2	0.5	0.4	0.4	0.7	0.2	0.1	0.1	1.2
21	Jarred Vanderbilt	DEN						9	4.6	0.6	0.8	.714	0.0	0.0	.000	0.0	0.0	.000	0.8	0.7	0.3	0.6	0.9	0.2	0.3	0.1	1.1
