1	James Harden	HOU	SG	6-5	220	8/26/1989 (31)	10	68	36.5	9.9	22.3	.444	4.4	12.4	.355	10.2	11.8	.865	4.5	3.3	1.0	5.5	6.6	7.5	1.8	0.9	34.3
2	Russell Westbrook	HOU	PG	6-3	200	11/12/1988 (31)	11	57	36.0	10.6	22.5	.472	1.0	3.7	.258	5.1	6.7	.763	4.5	3.5	1.8	6.2	7.9	7.0	1.6	0.4	27.2
3	Eric Gordon	HOU	SG	6-3	215	12/25/1988 (31)	11	36	28.2	4.8	12.9	.369	2.7	8.4	.317	2.3	3.0	.766	1.2	1.9	0.2	1.7	2.0	1.5	0.6	0.4	14.4
5	Jeff Green	HOU	PF	6-8	235	8/28/1986 (34)	11	18	22.6	4.7	8.3	.564	1.6	4.4	.354	1.3	1.6	.857	0.8	2.4	0.6	2.3	2.9	1.7	0.8	0.5	12.2
6	Robert Covington	HOU	PF	6-7	209	12/14/1990 (29)	6	22	33.0	4.0	10.3	.392	2.4	7.6	.315	1.1	1.4	.800	1.4	3.3	1.2	6.8	8.0	1.5	1.5	2.2	11.6
7	Danuel House	HOU	SF	6-6	220	6/7/1993 (27)	3	63	30.4	3.7	8.6	.427	2.0	5.6	.363	1.2	1.4	.811	0.9	2.1	0.9	3.3	4.2	1.3	1.1	0.5	10.5
8	Ben McLemore	HOU	SF	6-3	195	2/11/1993 (27)	6	71	22.8	3.4	7.7	.444	2.5	6.4	.400	0.7	0.9	.746	0.7	2.2	0.3	1.9	2.2	0.8	0.6	0.2	10.1
9	Austin Rivers	HOU	PG	6-3	200	8/1/1992 (28)	7	68	23.4	3.1	7.4	.421	1.4	4.0	.356	1.1	1.6	.703	0.7	1.9	0.4	2.2	2.6	1.7	0.7	0.1	8.8
10	P.J. Tucker	HOU	PF	6-5	245	5/5/1985 (35)	8	72	34.3	2.5	5.9	.415	1.5	4.2	.358	0.5	0.7	.812	1.0	3.2	1.6	5.1	6.6	1.6	1.1	0.5	6.9
11	DeMarre Carroll	HOU	SF	6-6	215	7/27/1986 (34)	10	9	17.2	1.8	4.1	.432	0.6	2.2	.250	1.9	2.4	.773	0.8	1.3	0.6	2.1	2.7	1.6	0.7	0.3	6.0
12	Chris Clemons	HOU	PG	5-9	180	7/23/1997 (23)	R	33	8.8	1.7	4.3	.401	1.1	3.2	.346	0.3	0.3	.909	0.6	0.8	0.1	0.8	0.9	0.8	0.3	0.2	4.9
13	Isaiah Hartenstein	HOU						23	11.6	1.9	2.9	.657	0.0	0.2	.000	0.8	1.2	.679	0.7	1.8	1.3	2.7	3.9	0.8	0.4	0.5	4.7
14	Gary Clark	HOU						18	11.8	1.3	3.3	.390	1.0	2.8	.353	0.3	0.4	.857	0.1	1.2	0.6	1.6	2.2	0.7	0.1	0.4	3.9
15	Bruno Caboclo	HOU	SF	6-9	218	9/21/1995 (25)	5	8	6.5	1.2	2.5	.500	0.2	1.0	.250	0.8	0.8	1.000	0.8	1.0	0.8	1.2	2.0	0.2	0.6	0.6	3.5
16	Ryan Anderson	HOU						2	7.0	1.0	3.5	.286	0.5	2.5	.200	0.0	0.0	.000	0.5	0.5	0.0	3.5	3.5	1.0	0.5	0.0	2.5
17	Thabo Sefolosha	HOU						41	10.6	0.9	2.2	.407	0.4	1.3	.278	0.1	0.2	.375	0.4	1.0	0.5	1.8	2.3	0.6	0.6	0.3	2.2
18	Michael Frazier	HOU	SG	6-3	200	3/8/1994 (26)	R	13	11.1	0.5	2.2	.241	0.3	1.8	.174	0.7	1.1	.643	0.4	1.7	0.1	0.7	0.8	0.2	0.2	0.0	2.1
19	Luc Mbah a Moute	HOU	SF	6-8	230	9/9/1986 (34)	11	3	8.2	0.7	1.7	.400	0.0	0.7	.000	0.3	0.7	.500	0.3	0.0	0.3	0.3	0.7	0.0	0.7	0.0	1.7
20	Tyson Chandler	HOU	C	7-0	235	10/2/1982 (38)	18	26	8.4	0.5	0.7	.778	0.0	0.0	.000	0.2	0.5	.462	0.3	1.2	1.0	1.6	2.5	0.2	0.2	0.3	1.3
21	William Howard	HOU						2	6.6	0.0	2.0	.000	0.0	2.0	.000	0.0	0.0	.000	0.5	0.5	0.0	1.0	1.0	0.5	0.0	0.0	0.0
15	David Nwaba	HOU						20	13.4	1.9	3.5	.521	0.6	1.4	.429	0.9	1.4	.667	0.4	1.6	0.4	1.9	2.2	0.4	0.6	0.6	5.2
