1	Ja Morant	MEM	PG	6-3	174	8/10/1999 (21)	R	67	31.0	6.7	14.0	.477	0.9	2.7	.335	3.6	4.6	.776	3.3	1.6	0.7	3.1	3.9	7.3	0.9	0.3	17.8
2	Jaren Jackson, Jr.	MEM	PF	6-11	242	9/15/1999 (21)	1	57	28.5	6.2	13.2	.469	2.5	6.5	.394	2.4	3.3	.747	1.7	4.1	1.0	3.6	4.6	1.4	0.7	1.6	17.4
3	Dillon Brooks	MEM	SG	6-7	225	1/22/1996 (24)	2	73	28.9	6.0	14.6	.407	2.0	5.6	.358	2.2	2.8	.808	1.7	3.8	0.9	2.4	3.3	2.1	0.9	0.4	16.2
4	Jonas Valanciunas	MEM	C	6-11	265	5/6/1992 (28)	7	70	26.4	6.2	10.6	.585	0.5	1.3	.352	2.1	2.9	.740	1.8	2.6	3.0	8.2	11.3	1.9	0.4	1.1	14.9
5	Brandon Clarke	MEM	SF	6-8	215	9/19/1996 (24)	R	58	22.4	5.1	8.3	.618	0.4	1.1	.359	1.5	1.9	.759	0.9	1.7	1.6	4.4	5.9	1.4	0.6	0.8	12.1
7	Josh Jackson	MEM	SG	6-8	207	2/10/1997 (23)	2	22	17.3	3.2	7.2	.440	1.0	3.3	.319	1.6	2.3	.700	1.3	1.8	0.5	2.5	3.0	1.6	0.8	0.4	9.0
8	Grayson Allen	MEM	SG	6-4	198	10/8/1995 (25)	1	38	18.9	3.1	6.6	.466	1.5	3.7	.404	1.0	1.2	.867	0.9	1.4	0.2	2.0	2.2	1.4	0.3	0.1	8.7
9	De'Anthony Melton	MEM	SG	6-2	200	5/28/1998 (22)	1	60	19.5	2.7	6.7	.401	0.7	2.3	.286	1.6	2.0	.769	1.4	1.8	0.7	3.0	3.7	2.9	1.3	0.3	7.6
10	Tyus Jones	MEM	PG	6-0	196	5/10/1996 (24)	4	65	19.0	3.0	6.6	.459	0.7	1.9	.379	0.7	0.9	.741	0.8	0.7	0.1	1.4	1.6	4.4	0.9	0.1	7.4
11	Gorgui Dieng	MEM	C	6-10	252	1/18/1990 (30)	6	17	18.7	2.5	5.1	.483	0.5	1.9	.250	1.8	2.5	.738	0.9	2.1	1.1	4.7	5.8	0.9	0.8	1.0	7.2
12	Dusty Hannahs	MEM						2	6.7	2.0	4.5	.444	1.0	1.5	.667	1.0	1.0	1.000	0.0	0.5	0.0	0.5	0.5	0.0	0.0	0.0	6.0
13	Kyle Anderson	MEM	SF	6-9	230	9/20/1993 (27)	5	67	19.8	2.3	4.9	.474	0.4	1.3	.282	0.8	1.2	.667	1.0	1.7	0.9	3.4	4.3	2.4	0.8	0.6	5.8
14	Solomon Hill	MEM						48	18.8	2.0	4.9	.412	1.2	3.1	.381	0.5	0.8	.684	0.8	1.5	0.5	2.5	3.0	2.0	0.6	0.1	5.7
15	Jordan Bell	MEM						2	10.7	1.5	3.5	.429	1.0	1.5	.667	1.0	1.0	1.000	1.5	1.0	1.0	0.5	1.5	1.0	0.5	0.0	5.0
16	Anthony Tolliver	MEM	PF	6-8	240	6/1/1985 (35)	11	13	18.2	1.5	3.7	.396	1.3	3.2	.415	0.5	0.6	.875	0.7	1.1	0.4	2.2	2.5	0.8	0.5	0.1	4.8
17	Marko Guduric	MEM	SG	6-6	201	3/8/1995 (25)	R	44	11.0	1.4	3.6	.395	0.6	1.9	.301	0.5	0.6	.923	0.8	0.8	0.3	1.3	1.7	1.0	0.3	0.2	3.9
18	John Konchar	MEM	SG	6-5	210	3/22/1996 (24)	R	19	9.5	1.3	1.9	.649	0.3	0.5	.500	0.1	0.1	.500	0.4	0.4	0.9	1.5	2.5	1.2	0.4	0.2	2.8
19	Bruno Caboclo	MEM						22	8.7	1.3	3.1	.406	0.2	1.1	.160	0.1	0.1	.667	0.3	1.0	0.8	1.2	2.0	0.5	0.5	0.5	2.8
20	Yuta Watanabe	MEM	SG	6-8	215	10/13/1994 (26)	1	18	5.8	0.8	1.9	.441	0.2	0.4	.375	0.2	0.4	.375	0.1	0.5	0.4	0.7	1.1	0.3	0.2	0.1	2.0
21	Jarrod Uthoff	MEM						4	3.4	0.2	1.8	.143	0.0	1.0	.000	0.5	0.5	1.000	0.0	0.2	0.2	0.0	0.2	0.0	0.2	0.0	1.0
