1	Jimmy Butler	MIA	SF	6-7	230	9/14/1989 (31)	8	58	33.8	5.9	13.1	.455	0.5	2.1	.244	7.6	9.1	.834	2.2	1.4	1.8	4.8	6.7	6.0	1.8	0.6	19.9
2	Goran Dragic	MIA	PG	6-3	190	5/6/1986 (34)	11	59	28.2	5.4	12.3	.441	2.1	5.7	.367	3.2	4.2	.776	2.4	2.1	0.5	2.7	3.2	5.1	0.7	0.2	16.2
3	Bam Adebayo	MIA	PF	6-9	255	7/18/1997 (23)	2	72	33.6	6.1	11.0	.557	0.0	0.2	.143	3.7	5.3	.691	2.8	2.5	2.4	7.8	10.2	5.1	1.1	1.3	15.9
4	Kendrick Nunn	MIA	SG	6-2	190	8/3/1995 (25)	R	67	29.3	6.0	13.6	.439	2.0	5.8	.350	1.3	1.5	.850	1.7	2.3	0.3	2.4	2.7	3.3	0.8	0.2	15.3
5	Tyler Herro	MIA	SG	6-5	195	1/20/2000 (20)	R	55	27.4	4.9	11.5	.428	2.1	5.4	.389	1.6	1.8	.870	1.6	1.4	0.3	3.8	4.1	2.2	0.6	0.2	13.5
6	Duncan Robinson	MIA	SG	6-7	215	4/22/1994 (26)	1	73	29.7	4.4	9.4	.470	3.7	8.3	.446	0.9	1.0	.931	1.0	2.6	0.1	3.0	3.2	1.4	0.5	0.3	13.5
7	Jae Crowder	MIA	SF	6-6	235	7/6/1990 (30)	7	20	27.7	4.0	8.2	.482	2.9	6.4	.445	1.1	1.5	.733	0.8	2.9	0.6	4.8	5.3	1.8	1.2	0.5	11.8
8	Justise Winslow	MIA						11	32.0	4.5	11.7	.388	0.5	2.5	.222	1.6	2.5	.667	2.2	3.5	1.5	5.2	6.6	4.0	0.6	0.5	11.3
10	Derrick Jones	MIA	SF	6-6	210	2/15/1997 (23)	3	59	23.3	3.1	5.9	.527	0.6	2.2	.280	1.6	2.1	.772	0.5	2.2	1.1	2.8	3.9	1.1	1.0	0.6	8.5
11	Kelly Olynyk	MIA	PF	6-11	240	4/19/1991 (29)	6	67	19.4	2.7	5.9	.462	1.4	3.5	.406	1.3	1.5	.860	1.1	2.6	0.7	3.9	4.6	1.7	0.7	0.3	8.2
12	Meyers Leonard	MIA	C	7-0	260	2/27/1992 (28)	7	51	20.3	2.3	4.6	.509	1.0	2.5	.414	0.4	0.5	.643	0.8	2.1	0.6	4.5	5.1	1.1	0.3	0.3	6.1
13	James Johnson	MIA						18	15.6	2.2	4.8	.448	0.9	2.5	.356	0.4	0.8	.571	0.8	1.9	0.4	2.4	2.9	1.2	0.3	0.7	5.7
14	Andre Iguodala	MIA	SG	6-6	215	1/28/1984 (36)	15	21	19.9	1.8	4.2	.432	0.7	2.2	.298	0.3	0.7	.400	1.2	1.7	0.8	2.9	3.7	2.4	0.7	1.0	4.6
15	Solomon Hill	MIA	SF	6-6	226	3/18/1991 (29)	6	11	17.0	1.3	4.1	.311	0.6	2.2	.292	1.3	1.5	.875	1.0	1.1	0.5	1.5	1.9	0.9	1.1	0.5	4.5
16	Chris Silva	MIA	PF	6-9	223	9/19/1996 (24)	R	44	7.9	1.1	1.8	.615	0.0	0.1	.000	0.8	1.2	.673	0.7	1.9	1.4	1.5	2.9	0.5	0.2	0.5	3.0
17	Udonis Haslem	MIA	PF	6-8	235	6/9/1980 (40)	16	4	11.0	1.0	2.8	.364	0.2	0.8	.333	0.8	1.0	.750	0.2	1.5	0.2	3.8	4.0	0.2	0.0	0.0	3.0
18	Gabe Vincent	MIA	PG	6-3	200	6/14/1996 (24)	R	9	9.2	0.9	4.1	.216	0.7	3.0	.222	0.0	0.0	.000	0.1	0.7	0.0	0.6	0.6	0.7	0.6	0.0	2.4
19	KZ Okpala	MIA	SF	6-8	215	4/28/1999 (21)	R	5	5.2	0.6	1.0	.600	0.0	0.2	.000	0.2	0.4	.500	0.2	0.4	0.2	0.8	1.0	0.2	0.4	0.2	1.4
20	Kyle Alexander	MIA	F	6-11	220	10/21/1996 (24)	R	2	6.7	0.5	1.0	.500	0.0	0.0	.000	0.0	0.0	.000	0.5	0.5	1.0	0.5	1.5	0.0	0.0	0.0	1.0
21	Daryl Macon	MIA						4	3.5	0.2	0.8	.333	0.2	0.5	.500	0.0	0.0	.000	0.5	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.8
