1	Giannis Antetokounmpo	MIL	PF	6-11	242	12/6/1994 (25)	6	63	30.4	10.9	19.7	.553	1.4	4.7	.304	6.3	10.0	.633	3.7	3.1	2.2	11.4	13.6	5.6	1.0	1.0	29.5
2	Khris Middleton	MIL	SF	6-7	222	8/12/1991 (29)	7	62	29.9	7.6	15.3	.497	2.4	5.7	.415	3.4	3.7	.916	2.2	2.3	0.7	5.5	6.2	4.3	0.9	0.1	20.9
3	Eric Bledsoe	MIL	PG	6-1	214	12/9/1989 (30)	9	61	27.0	5.5	11.5	.474	1.2	3.5	.344	2.8	3.5	.790	2.4	2.1	0.7	3.9	4.6	5.4	0.9	0.4	14.9
4	Brook Lopez	MIL	C	7-0	282	4/1/1988 (32)	11	68	26.7	4.3	9.9	.435	1.5	4.8	.314	1.9	2.2	.836	1.0	2.4	0.9	3.7	4.6	1.5	0.7	2.4	12.0
5	George Hill	MIL	PG	6-3	188	5/4/1986 (34)	11	59	21.5	3.3	6.4	.516	1.4	3.0	.460	1.4	1.7	.842	1.0	1.4	0.8	2.2	3.0	3.1	0.8	0.1	9.4
6	Donte DiVincenzo	MIL	SG	6-4	203	1/31/1997 (23)	1	66	23.0	3.5	7.7	.455	1.3	3.7	.336	1.0	1.3	.733	1.4	1.7	1.0	3.8	4.8	2.3	1.3	0.3	9.2
7	Wesley Matthews	MIL	SG	6-4	220	10/14/1986 (34)	10	67	24.4	2.5	6.3	.396	1.6	4.4	.364	0.8	1.0	.765	0.6	1.5	0.3	2.1	2.5	1.4	0.6	0.1	7.4
8	Frank Mason	MIL	PG	5-11	190	4/3/1994 (26)	2	9	13.1	2.6	5.7	.451	0.7	2.3	.286	1.1	1.9	.588	1.2	1.2	0.6	1.6	2.1	3.2	0.6	0.1	6.9
9	Kyle Korver	MIL	SG	6-7	212	3/17/1981 (39)	16	58	16.5	2.2	5.1	.430	1.7	4.1	.418	0.6	0.7	.854	0.8	1.3	0.3	1.8	2.1	1.2	0.4	0.2	6.7
10	Ersan Ilyasova	MIL	SF	6-9	235	5/15/1987 (33)	11	63	15.7	2.3	5.0	.466	0.8	2.2	.365	1.1	1.4	.828	0.5	1.5	1.0	3.8	4.8	0.8	0.4	0.3	6.6
11	Robin Lopez	MIL	C	7-0	281	4/1/1988 (32)	11	66	14.5	2.2	4.5	.492	0.5	1.6	.333	0.4	0.8	.528	1.0	1.5	0.8	1.6	2.4	0.7	0.2	0.7	5.4
12	Pat Connaughton	MIL	SG	6-5	209	1/6/1993 (27)	4	67	18.6	2.0	4.5	.455	0.8	2.5	.331	0.5	0.6	.775	0.8	1.0	0.9	3.3	4.2	1.6	0.4	0.5	5.4
13	Sterling Brown	MIL	SG	6-5	219	2/10/1995 (25)	2	52	14.7	1.8	4.9	.371	0.8	2.6	.324	0.6	0.8	.800	0.8	1.0	0.6	2.9	3.5	1.0	0.6	0.1	5.1
14	Marvin Williams	MIL	PF	6-8	237	6/19/1986 (34)	14	17	18.9	1.5	3.4	.439	0.7	2.3	.308	0.4	0.4	.857	0.5	1.9	0.9	3.5	4.4	1.1	0.6	0.5	4.0
15	Dragan Bender	MIL						7	13.0	1.4	3.0	.476	0.6	1.3	.444	0.3	0.4	.667	0.7	2.3	0.0	2.9	2.9	1.3	0.0	0.7	3.7
16	D.J. Wilson	MIL	PF	6-10	231	2/19/1996 (24)	2	37	9.8	1.4	3.6	.394	0.5	2.0	.247	0.3	0.5	.611	0.5	0.9	0.3	2.2	2.5	0.7	0.1	0.1	3.6
17	Thanasis Antetokounmpo	MIL	SF	6-6	219	7/18/1992 (28)	1	20	6.4	1.2	2.4	.500	0.0	0.5	.000	0.3	0.8	.412	0.6	0.9	0.6	0.6	1.2	0.8	0.3	0.1	2.8
