1	Damian Lillard	POR	PG	6-2	195	7/15/1990 (30)	7	66	37.5	9.5	20.4	.463	4.1	10.2	.401	7.0	7.8	.888	2.9	1.7	0.5	3.8	4.3	8.0	1.1	0.3	30.0
2	C.J. McCollum	POR	SG	6-3	190	9/19/1991 (29)	6	70	36.5	8.7	19.4	.451	2.8	7.3	.379	2.0	2.6	.757	1.8	2.6	0.7	3.6	4.2	4.4	0.8	0.6	22.2
3	Jusuf Nurkic	POR	C	7-0	290	8/23/1994 (26)	5	8	31.6	6.8	13.6	.495	0.2	1.2	.200	3.9	4.4	.886	2.4	4.9	2.9	7.4	10.2	4.0	1.4	2.0	17.6
4	Hassan Whiteside	POR	C	7-0	265	6/13/1989 (31)	7	67	30.0	6.5	10.5	.621	0.1	0.1	.571	2.4	3.6	.686	1.8	2.9	3.9	9.7	13.5	1.2	0.4	2.9	15.5
5	Carmelo Anthony	POR	SF	6-8	238	5/29/1984 (36)	16	58	32.8	5.8	13.5	.430	1.5	3.9	.385	2.3	2.8	.845	1.7	2.9	1.2	5.1	6.3	1.5	0.8	0.5	15.4
6	Trevor Ariza	POR						21	33.4	3.7	7.6	.491	1.6	4.0	.400	2.0	2.2	.872	1.3	2.3	0.6	4.1	4.8	2.0	1.6	0.4	11.0
7	Rodney Hood	POR						21	29.5	4.1	8.2	.506	1.7	3.4	.493	1.0	1.3	.778	0.9	2.2	0.5	3.0	3.4	1.5	0.8	0.2	11.0
8	Gary Trent, Jr.	POR	SG	6-5	209	1/18/1999 (21)	1	61	21.8	3.2	7.2	.444	1.8	4.4	.418	0.6	0.7	.822	0.3	1.5	0.4	1.2	1.6	1.0	0.8	0.3	8.9
9	Anfernee Simons	POR	SG	6-3	181	6/8/1999 (21)	1	70	20.7	3.1	7.7	.399	1.1	3.2	.332	1.1	1.3	.826	0.9	1.9	0.4	1.8	2.2	1.4	0.4	0.1	8.3
10	Kent Bazemore	POR						43	25.8	2.6	7.6	.347	1.3	4.0	.327	1.3	1.7	.806	1.4	2.8	0.3	3.7	4.0	1.4	1.0	0.7	7.9
11	Zach Collins	POR	PF	6-11	250	11/19/1997 (22)	2	11	26.4	2.9	6.2	.471	0.6	1.7	.368	0.5	0.7	.750	1.3	3.3	2.3	4.0	6.3	1.5	0.5	0.5	7.0
12	Skal Labissiere	POR						33	17.2	2.5	4.5	.551	0.1	0.4	.231	0.8	1.0	.758	0.9	2.7	2.0	3.2	5.1	1.3	0.2	0.9	5.8
13	Mario Hezonja	POR	SF	6-8	220	2/25/1995 (25)	4	53	16.4	1.7	4.1	.422	0.5	1.5	.308	0.9	1.1	.814	0.8	2.0	0.6	2.9	3.5	0.9	0.7	0.2	4.8
14	Anthony Tolliver	POR						33	16.8	1.3	3.5	.368	0.9	2.7	.337	0.4	0.6	.684	0.6	1.6	0.8	2.5	3.3	0.9	0.2	0.3	3.9
15	Nassir Little	POR	SF	6-5	220	2/11/2000 (20)	R	48	11.9	1.4	3.1	.430	0.3	1.2	.237	0.6	0.9	.636	0.3	1.5	0.6	1.6	2.2	0.5	0.3	0.3	3.6
16	Caleb Swanigan	POR						20	13.3	1.3	2.1	.605	0.0	0.1	.000	0.4	0.8	.533	1.6	2.7	1.2	3.4	4.7	1.4	0.1	0.2	3.0
17	Jaylen Hoard	POR	SF	6-8	216	3/30/1999 (21)	R	13	7.9	1.2	2.5	.469	0.0	0.2	.000	0.6	1.0	.615	0.3	0.9	1.1	1.4	2.5	0.3	0.4	0.0	2.9
18	Wenyen Gabriel	POR	PF	6-9	205	3/26/1997 (23)	R	19	9.1	0.8	1.6	.484	0.3	0.6	.417	0.5	0.6	.750	0.6	1.7	0.9	1.3	2.2	0.3	0.4	0.3	2.3
