1	Donovan Mitchell	UTA	SG	6-1	215	9/7/1996 (24)	2	69	34.3	8.7	19.4	.449	2.5	6.9	.366	4.0	4.7	.863	2.7	2.5	0.8	3.6	4.4	4.3	1.0	0.2	24.0
2	Bojan Bogdanovic	UTA						63	33.1	6.6	14.8	.447	3.0	7.3	.414	4.0	4.4	.903	2.5	1.7	0.6	3.5	4.1	2.1	0.5	0.1	20.2
3	Jordan Clarkson	UTA	PG	6-4	192	6/7/1992 (28)	5	42	24.7	6.0	12.9	.462	2.2	6.0	.366	1.5	1.9	.785	1.4	1.8	0.7	2.1	2.8	1.6	0.7	0.2	15.6
4	Rudy Gobert	UTA	C	7-1	258	6/26/1992 (28)	6	68	34.3	5.7	8.2	.693	0.0	0.0	.000	3.7	5.9	.630	1.9	3.2	3.4	10.1	13.5	1.5	0.8	2.0	15.1
5	Mike Conley	UTA	PG	6-1	175	10/11/1987 (33)	12	47	29.0	4.9	12.1	.409	2.0	5.4	.375	2.4	3.0	.827	2.0	2.2	0.7	2.5	3.2	4.4	0.8	0.1	14.4
6	Joe Ingles	UTA	SG	6-7	220	10/2/1987 (33)	5	72	29.7	3.4	7.7	.445	2.0	4.9	.399	1.0	1.3	.787	2.0	2.1	0.4	3.5	3.9	5.2	0.9	0.2	9.8
7	Jeff Green	UTA						30	18.4	2.5	6.5	.385	1.1	3.5	.327	1.6	2.1	.778	0.9	1.5	0.5	2.2	2.7	0.7	0.4	0.3	7.8
8	Emmanuel Mudiay	UTA	PG	6-3	200	3/5/1996 (24)	4	54	15.7	2.8	6.1	.462	0.6	1.6	.345	1.2	1.5	.759	1.4	1.3	0.3	2.0	2.3	2.1	0.4	0.2	7.3
9	Royce O'Neale	UTA	SF	6-4	226	6/5/1993 (27)	2	71	28.9	2.2	5.1	.433	1.3	3.4	.377	0.6	0.8	.764	0.9	2.8	0.4	5.1	5.5	2.5	0.8	0.5	6.3
10	Georges Niang	UTA	SF	6-7	230	6/17/1993 (27)	3	66	14.0	2.1	4.9	.438	1.4	3.4	.400	0.3	0.4	.833	0.5	1.1	0.2	1.7	1.9	0.7	0.3	0.1	5.9
11	Tony Bradley	UTA	C	6-10	248	1/8/1998 (22)	2	58	11.4	2.2	3.3	.667	0.1	0.1	1.000	0.5	0.8	.652	0.5	2.0	1.9	2.7	4.6	0.4	0.2	0.6	4.9
12	Justin Wright-Foreman	UTA	PG	6-0	190	10/27/1997 (22)	R	4	11.3	1.8	5.0	.350	0.5	2.5	.200	0.8	1.0	.750	0.8	1.2	0.0	1.2	1.2	1.8	0.5	0.0	4.8
13	Miye Oni	UTA	SG	6-5	206	8/4/1997 (23)	R	10	10.9	1.2	3.2	.375	0.7	1.9	.368	0.4	0.5	.800	0.4	0.9	0.5	1.2	1.7	0.4	0.4	0.2	3.5
14	Rayjon Tucker	UTA	SG	6-3	209	9/24/1997 (23)	R	20	8.1	1.0	2.1	.465	0.1	0.8	.176	0.9	1.1	.826	0.4	0.5	0.1	0.8	1.0	0.2	0.1	0.1	3.1
15	Jarrell Brantley	UTA	PF	6-5	250	6/7/1996 (24)	R	9	10.7	1.1	3.1	.357	0.3	1.4	.231	0.1	0.2	.500	0.8	0.8	0.2	2.0	2.2	1.2	0.3	0.6	2.7
16	Dante Exum	UTA						11	7.6	0.9	2.1	.435	0.2	0.5	.333	0.2	0.2	1.000	0.9	0.7	0.3	0.8	1.1	0.6	0.1	0.2	2.2
17	Ed Davis	UTA	C	6-9	218	6/5/1989 (31)	9	28	10.8	0.8	1.6	.478	0.0	0.0	.000	0.2	0.5	.500	0.5	2.2	1.2	2.5	3.8	0.4	0.4	0.3	1.8
18	Juwan Morgan	UTA	SF	6-7	232	4/17/1997 (23)	R	21	6.4	0.7	1.2	.577	0.1	0.4	.375	0.1	0.2	.750	0.3	0.9	0.5	0.9	1.4	0.3	0.0	0.1	1.7
19	Nigel Williams-Goss	UTA	PG	6-2	190	9/16/1994 (26)	R	10	5.0	0.5	1.6	.312	0.2	0.7	.286	0.2	0.2	1.000	0.3	0.6	0.2	0.4	0.6	0.6	0.3	0.1	1.4

