1	Kyrie Irving	BRK						20	32.9	9.9	20.8	.478	2.8	7.1	.394	4.7	5.1	.922	2.6	2.6	1.1	4.0	5.2	6.4	1.4	0.5	27.4
2	Spencer Dinwiddie	BRK						64	31.2	6.6	16.0	.415	1.9	6.2	.307	5.4	7.0	.778	2.7	2.8	0.5	3.0	3.5	6.8	0.6	0.3	20.6
3	Caris LeVert	BRK	SG	6-6	205	8/25/1994 (26)	3	45	29.6	6.9	16.3	.425	1.8	4.9	.364	3.1	4.4	.711	2.6	1.8	1.1	3.1	4.2	4.4	1.2	0.2	18.7
4	Joe Harris	BRK	SF	6-6	220	9/6/1991 (29)	5	69	30.8	5.5	11.4	.486	2.5	5.9	.424	0.9	1.3	.719	1.5	2.3	0.9	3.4	4.3	2.1	0.6	0.2	14.5
5	Taurean Prince	BRK						64	29.0	4.3	11.5	.376	2.3	6.7	.339	1.1	1.4	.798	2.0	2.5	0.8	5.2	6.0	1.8	0.9	0.4	12.1
6	Tyler Johnson	BRK	SG	6-4	190	5/7/1992 (28)	5	8	24.2	4.0	9.9	.405	1.8	4.5	.389	2.2	2.2	1.000	0.6	1.9	1.0	2.1	3.1	3.0	0.5	0.1	12.0
7	Jarrett Allen	BRK	C	6-11	243	4/21/1998 (22)	2	70	26.5	4.3	6.6	.649	0.0	0.1	.000	2.4	3.9	.633	1.1	2.3	3.1	6.5	9.6	1.6	0.6	1.3	11.1
8	Garrett Temple	BRK	SG	6-5	195	5/8/1986 (34)	9	62	27.9	3.6	9.5	.378	2.0	6.2	.329	1.1	1.4	.805	1.0	1.7	0.5	3.0	3.5	2.5	0.8	0.5	10.3
9	DeAndre Jordan	BRK						56	22.0	3.4	5.1	.666	0.0	0.0	.000	1.5	2.2	.680	1.3	2.0	2.5	7.5	10.0	1.9	0.3	0.9	8.3
10	Timothe Luwawu-Cabarrot	BRK	SG	6-7	210	5/9/1995 (25)	3	47	18.1	2.5	5.7	.435	1.3	3.4	.388	1.5	1.7	.852	0.8	2.3	0.6	2.1	2.7	0.6	0.4	0.1	7.8
11	Jeremiah Martin	BRK	PG	6-2	185	6/19/1996 (24)	R	9	11.0	2.7	5.9	.453	0.6	2.0	.278	1.2	1.6	.786	0.4	0.8	0.1	1.0	1.1	2.0	0.8	0.2	7.1
12	Donta Hall	BRK						5	17.1	2.8	3.6	.778	0.0	0.0	.000	1.0	2.4	.417	0.6	2.8	1.6	3.0	4.6	0.4	0.4	1.0	6.6
13	Chris Chiozza	BRK	PG	5-11	176	11/21/1995 (24)	1	18	15.5	2.5	5.9	.425	1.1	3.1	.357	0.3	0.3	1.000	1.3	1.4	0.5	1.6	2.1	3.1	0.6	0.1	6.4
14	Wilson Chandler	BRK						35	21.0	2.1	5.2	.404	1.1	3.5	.306	0.6	0.7	.870	1.0	2.3	0.3	3.8	4.2	1.1	0.5	0.3	5.9
16	Jamal Crawford	BRK	SG	6-5	185	3/20/1980 (40)	19	1	6.0	2.0	4.0	.500	1.0	2.0	.500	0.0	0.0	.000	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	5.0
17	Dzanan Musa	BRK	SG	6-9	217	5/8/1999 (21)	1	40	12.2	1.6	4.3	.372	0.5	1.9	.244	1.1	1.5	.750	0.9	0.8	0.5	1.6	2.1	1.1	0.4	0.0	4.8
18	Rodions Kurucs	BRK	SF	6-9	228	2/5/1998 (22)	1	47	14.5	1.7	3.8	.446	0.7	1.9	.367	0.5	0.8	.632	1.0	1.9	0.5	2.4	2.9	1.1	0.5	0.1	4.6
22	Lance Thomas	BRK	SF	6-8	235	4/24/1988 (32)	8	7	14.0	1.1	3.3	.348	0.6	1.9	.308	0.6	0.6	1.000	0.9	1.6	0.3	1.6	1.9	0.9	0.0	0.0	3.4
23	Justin Anderson	BRK	SG	6-5	231	11/19/1993 (26)	4	10	10.7	1.0	3.8	.263	0.6	2.9	.207	0.2	0.4	.500	0.4	1.3	0.1	2.0	2.1	0.8	0.0	0.6	2.8
