1	Devonte' Graham	CHA	PG	6-1	195	2/22/1995 (25)	1	63	35.1	5.8	15.3	.382	3.5	9.3	.373	3.0	3.7	.820	2.9	1.8	0.7	2.7	3.4	7.5	1.0	0.2	18.2
2	Terry Rozier	CHA	PG	6-1	190	3/17/1994 (26)	4	63	34.4	6.3	14.9	.423	2.7	6.7	.407	2.6	3.0	.874	2.2	2.0	0.8	3.6	4.4	4.1	1.0	0.2	18.0
3	Miles Bridges	CHA	SF	6-6	225	3/21/1998 (22)	1	65	30.7	4.9	11.6	.424	1.5	4.6	.330	1.6	2.0	.809	1.5	2.0	1.3	4.2	5.6	1.8	0.6	0.7	13.0
4	P.J. Washington	CHA	PF	6-7	230	8/23/1998 (22)	R	58	30.3	4.6	10.2	.455	1.5	4.0	.374	1.5	2.3	.647	1.6	2.7	1.0	4.4	5.4	2.1	0.9	0.8	12.2
5	Cody Zeller	CHA	C	7-0	240	10/5/1992 (28)	6	58	23.1	4.3	8.3	.524	0.3	1.3	.240	2.1	3.1	.682	1.3	2.4	2.8	4.3	7.1	1.5	0.7	0.4	11.1
6	Malik Monk	CHA						55	21.3	3.9	8.9	.434	1.1	3.7	.284	1.5	1.8	.820	1.4	1.3	0.5	2.4	2.9	2.1	0.5	0.3	10.3
7	Bismack Biyombo	CHA	C	6-8	255	8/28/1992 (28)	8	53	19.4	2.8	5.2	.543	0.0	0.0	.000	1.7	2.8	.603	0.9	2.2	2.3	3.5	5.8	0.9	0.2	0.9	7.4
8	Marvin Williams	CHA						41	19.7	2.3	5.1	.448	1.1	2.9	.376	1.0	1.2	.860	0.6	1.7	0.4	2.3	2.7	1.0	0.6	0.5	6.7
9	Caleb Martin	CHA	SF	6-5	205	9/28/1995 (25)	R	18	17.6	2.1	4.7	.440	1.1	2.1	.541	0.9	1.2	.810	0.8	1.8	0.6	1.6	2.1	1.3	0.7	0.4	6.2
10	Willy Hernangomez	CHA	C	6-11	250	5/27/1994 (26)	3	31	12.1	2.4	4.5	.532	0.2	0.7	.227	1.2	1.9	.627	1.0	1.0	1.4	2.9	4.3	0.9	0.3	0.2	6.1
11	Dwayne Bacon	CHA	SG	6-6	221	8/30/1995 (25)	2	39	17.6	2.2	6.3	.348	0.5	1.7	.284	0.9	1.4	.660	0.9	1.3	0.4	2.2	2.6	1.3	0.6	0.1	5.7
12	Jalen McDaniels	CHA	PF	6-10	205	1/31/1998 (22)	R	16	18.3	2.1	4.4	.471	0.6	1.5	.375	0.9	1.1	.824	0.7	2.2	0.9	3.1	4.1	0.8	0.5	0.2	5.6
13	Cody Martin	CHA	SF	6-5	205	9/28/1995 (25)	R	48	18.8	1.9	4.3	.430	0.4	1.6	.234	0.9	1.4	.646	0.9	1.6	0.8	2.5	3.3	2.0	0.8	0.2	5.0
14	Michael Kidd-Gilchrist	CHA						12	13.3	1.5	4.4	.340	0.4	1.4	.294	0.6	0.8	.778	0.6	1.5	0.8	2.2	2.9	0.8	0.0	0.2	4.0
15	Nicolas Batum	CHA	SF	6-9	230	12/14/1988 (31)	11	22	23.0	1.3	3.7	.346	0.6	2.2	.286	0.4	0.5	.900	1.0	1.9	1.1	3.4	4.5	3.0	0.8	0.4	3.6
16	Joe Chealey	CHA	PG	6-3	190	11/1/1995 (24)	1	4	8.4	0.0	1.8	.000	0.0	1.0	.000	0.5	0.5	1.000	0.5	0.5	0.0	0.0	0.0	0.2	1.0	0.0	0.5
