1	Zach LaVine	CHI	PG	6-6	200	3/10/1995 (25)	5	60	34.8	9.0	20.0	.450	3.1	8.1	.380	4.5	5.6	.802	3.4	2.2	0.7	4.1	4.8	4.2	1.5	0.5	25.5
2	Lauri Markkanen	CHI	PF	7-0	240	5/22/1997 (23)	2	50	29.8	5.0	11.8	.425	2.2	6.3	.344	2.5	3.1	.824	1.6	1.9	1.2	5.1	6.3	1.5	0.8	0.5	14.7
3	Coby White	CHI	PG	6-4	195	2/16/2000 (20)	R	65	25.8	4.8	12.2	.394	2.0	5.8	.354	1.6	2.0	.791	1.7	1.8	0.4	3.1	3.5	2.7	0.8	0.1	13.2
4	Otto Porter	CHI	SF	6-8	198	6/3/1993 (27)	6	14	23.6	4.4	10.0	.443	1.7	4.4	.387	1.4	1.9	.704	0.8	2.2	0.9	2.5	3.4	1.8	1.1	0.4	11.9
5	Wendell Carter, Jr.	CHI	C	6-9	270	4/16/1999 (21)	1	43	29.2	4.3	8.0	.534	0.1	0.7	.207	2.6	3.5	.737	1.7	3.8	3.2	6.2	9.4	1.2	0.8	0.8	11.3
6	Thaddeus Young	CHI	SF	6-8	235	6/21/1988 (32)	12	64	24.9	4.2	9.4	.448	1.2	3.5	.356	0.7	1.1	.583	1.6	2.1	1.5	3.5	4.9	1.8	1.4	0.4	10.3
7	Tomas Satoransky	CHI	SG	6-7	210	10/30/1991 (28)	3	65	28.9	3.6	8.5	.430	1.0	3.1	.322	1.6	1.9	.876	2.0	2.1	1.2	2.7	3.9	5.4	1.2	0.1	9.9
8	Chandler Hutchison	CHI	SF	6-7	210	4/26/1996 (24)	1	28	18.8	2.9	6.2	.457	0.4	1.4	.316	1.6	2.8	.590	1.0	1.7	0.6	3.2	3.9	0.9	1.0	0.2	7.8
9	Kris Dunn	CHI	PG	6-3	205	3/18/1994 (26)	3	51	24.9	3.0	6.7	.444	0.6	2.2	.259	0.8	1.1	.741	1.3	3.1	0.5	3.2	3.6	3.4	2.0	0.3	7.3
10	Denzel Valentine	CHI	SG	6-4	220	11/16/1993 (26)	2	36	13.6	2.7	6.6	.409	1.3	3.8	.336	0.2	0.2	.750	0.7	1.4	0.2	1.8	2.1	1.2	0.7	0.2	6.8
11	Luke Kornet	CHI	C	7-2	250	7/15/1995 (25)	2	36	15.5	2.3	5.2	.439	0.9	3.0	.287	0.6	0.8	.714	0.4	1.5	0.6	1.7	2.3	0.9	0.3	0.7	6.0
12	Daniel Gafford	CHI	PF	6-10	234	10/1/1998 (22)	R	43	14.2	2.2	3.1	.701	0.0	0.0	.000	0.7	1.4	.533	0.7	2.3	1.2	1.3	2.5	0.5	0.3	1.3	5.1
13	Shaquille Harrison	CHI	PG	6-7	190	10/6/1993 (27)	2	43	11.3	1.8	3.8	.467	0.4	1.0	.381	0.9	1.2	.780	0.4	1.3	0.5	1.5	2.0	1.1	0.8	0.4	4.9
14	Ryan Arcidiacono	CHI	PG	6-3	195	3/26/1994 (26)	2	58	16.0	1.6	3.8	.409	0.9	2.4	.391	0.5	0.7	.711	0.6	1.7	0.3	1.6	1.9	1.7	0.5	0.1	4.5
15	Cristiano Felicio	CHI	PF	6-10	270	7/7/1992 (28)	4	22	17.5	1.5	2.5	.630	0.0	0.1	.000	0.8	1.0	.783	0.8	1.5	2.5	2.1	4.6	0.7	0.5	0.1	3.9
16	Adam Mokoka	CHI	SG	6-5	190	7/18/1998 (22)	R	11	10.2	1.1	2.5	.429	0.5	1.4	.400	0.2	0.4	.500	0.2	1.5	0.6	0.3	0.9	0.4	0.4	0.0	2.9
17	Max Strus	CHI	SG	6-5	215	3/28/1996 (24)	R	2	3.1	1.0	1.5	.667	0.0	0.5	.000	0.5	0.5	1.000	0.0	0.5	0.5	0.0	0.5	0.0	0.0	0.0	2.5
