1	Derrick Rose	DET	PG	6-2	200	10/4/1988 (32)	10	50	26.0	7.4	15.1	.490	0.9	2.9	.306	2.4	2.8	.871	2.5	1.0	0.5	1.9	2.4	5.6	0.8	0.3	18.1
2	Andre Drummond	DET						49	33.8	7.3	13.9	.530	0.0	0.4	.048	3.0	5.2	.584	3.6	3.6	4.6	11.2	15.8	2.8	2.0	1.7	17.8
3	Luke Kennard	DET						28	32.9	5.4	12.2	.442	2.6	6.5	.399	2.4	2.7	.893	1.5	2.3	0.3	3.2	3.5	4.1	0.4	0.2	15.8
4	Blake Griffin	DET	PF	6-9	250	3/16/1989 (31)	9	18	28.5	4.9	13.9	.352	1.5	6.2	.243	4.2	5.4	.776	2.2	1.5	0.9	3.7	4.7	3.3	0.4	0.4	15.5
5	Reggie Jackson	DET						14	27.2	5.4	14.1	.384	2.2	5.9	.378	1.9	2.4	.788	1.6	1.5	0.8	2.1	2.9	5.1	0.6	0.1	14.9
6	Christian Wood	DET	PF	6-10	214	9/27/1995 (25)	3	62	21.4	4.6	8.2	.567	0.9	2.3	.386	2.9	3.9	.744	1.4	1.6	1.7	4.6	6.3	1.0	0.5	0.9	13.1
7	Jordan McRae	DET	SG	6-5	179	3/28/1991 (29)	3	4	24.6	3.5	10.8	.326	0.8	4.0	.188	4.0	5.5	.727	1.2	2.5	0.0	3.8	3.8	1.8	0.0	0.0	11.8
8	Brandon Knight	DET	PG	6-2	182	12/2/1991 (28)	7	9	24.6	3.4	9.0	.383	2.9	7.4	.388	1.8	2.3	.762	2.4	2.2	0.1	2.2	2.3	4.2	0.6	0.1	11.6
9	Markieff Morris	DET						44	22.5	4.0	8.8	.450	1.7	4.3	.397	1.4	1.8	.772	1.6	2.4	0.5	3.4	3.9	1.6	0.6	0.2	11.0
10	Langston Galloway	DET	SG	6-1	200	12/9/1991 (28)	5	66	25.8	3.6	8.2	.435	2.0	5.0	.399	1.1	1.3	.859	0.6	1.5	0.5	1.8	2.3	1.5	0.7	0.2	10.3
11	Svi Mykhailiuk	DET	SG	6-7	205	6/10/1997 (23)	1	56	22.6	3.0	7.2	.410	2.1	5.1	.404	1.0	1.2	.814	1.1	1.6	0.3	1.6	1.9	1.9	0.7	0.1	9.0
12	Bruce Brown, Jr.	DET	SG	6-4	202	8/15/1996 (24)	1	58	28.2	3.4	7.7	.443	0.6	1.7	.344	1.5	2.1	.739	1.7	2.8	1.1	3.7	4.7	4.0	1.1	0.5	8.9
13	Tony Snell	DET	SF	6-6	213	11/10/1991 (28)	6	59	27.8	2.9	6.5	.445	1.7	4.3	.402	0.5	0.5	1.000	0.5	1.7	0.2	1.7	1.9	2.2	0.5	0.3	8.0
14	John Henson	DET	PF	6-9	219	12/28/1990 (29)	7	11	17.1	3.1	4.6	.667	0.2	0.5	.400	0.5	1.2	.462	1.4	2.1	1.3	3.1	4.4	1.0	0.7	0.9	6.9
15	Sekou Doumbouya	DET	SF	6-8	230	12/23/2000 (19)	R	38	19.8	2.4	6.2	.390	0.7	2.6	.286	0.8	1.2	.674	0.9	2.1	0.5	2.6	3.1	0.5	0.5	0.2	6.4
16	Thon Maker	DET	C	7-0	221	2/25/1997 (23)	3	60	12.9	1.6	3.2	.482	0.4	1.1	.344	1.2	1.8	.664	0.8	1.7	0.9	1.9	2.8	0.7	0.4	0.7	4.7
17	Tim Frazier	DET						27	13.1	1.3	3.5	.362	0.4	1.1	.333	0.7	0.9	.792	1.3	1.6	0.3	0.9	1.2	3.4	0.5	0.1	3.6
18	Khyri Thomas	DET	SG	6-3	210	5/8/1996 (24)	1	8	7.7	0.6	2.1	.294	0.6	1.8	.357	0.2	0.5	.500	0.4	1.1	0.1	0.0	0.1	0.4	0.4	0.0	2.1
19	Louis King	DET						10	6.2	0.8	2.1	.381	0.4	1.1	.364	0.0	0.3	.000	0.2	1.0	0.1	0.9	1.0	0.5	0.2	0.0	2.0
20	Donta Hall	DET						4	12.0	0.2	1.0	.250	0.0	0.0	.000	1.0	1.5	.667	0.5	2.2	1.5	2.2	3.8	0.5	0.2	0.2	1.5
21	Jordan Bone	DET	PG	6-3	180	11/5/1997 (22)	R	10	5.3	0.5	2.0	.250	0.2	1.0	.200	0.0	0.0	.000	0.2	0.6	0.0	0.4	0.4	0.8	0.1	0.0	1.2
22	Derrick Walton, Jr.	DET						3	8.8	0.3	1.0	.333	0.3	1.0	.333	0.0	0.0	.000	0.3	0.7	0.0	0.3	0.3	1.7	1.0	0.0	1.0
