2	Stephen Curry	GSW	PG	6-3	185	3/14/1988 (32)	10	5	27.9	6.6	16.4	.402	2.4	9.8	.245	5.2	5.2	1.000	3.2	2.2	0.8	4.4	5.2	6.6	1.0	0.4	20.8
3	Andrew Wiggins	GSW	SG	6-7	197	2/23/1995 (25)	5	12	33.6	7.2	15.7	.457	1.7	4.9	.339	3.4	5.1	.672	2.1	2.2	1.5	3.1	4.6	3.6	1.3	1.4	19.4
4	Alec Burks	GSW						48	29.0	5.1	12.5	.406	1.8	4.7	.375	4.2	4.7	.897	1.6	2.2	0.8	3.9	4.7	3.1	1.0	0.4	16.1
5	Eric Paschall	GSW	PF	6-6	255	11/4/1996 (23)	R	60	27.6	5.3	10.7	.497	0.6	2.1	.287	2.7	3.5	.774	1.6	2.1	1.4	3.2	4.6	2.1	0.5	0.2	13.9
6	Glenn Robinson	GSW						48	31.6	5.1	10.5	.482	1.4	3.5	.400	1.3	1.5	.851	1.1	1.7	1.4	3.3	4.7	1.8	0.9	0.3	12.9
7	Damion Lee	GSW	SG	6-5	210	10/21/1992 (28)	2	49	29.0	4.3	10.4	.417	1.7	4.9	.356	2.2	2.6	.873	1.4	2.4	0.7	4.2	4.9	2.7	1.0	0.1	12.7
8	Mychal Mulder	GSW	G	6-4	184	6/12/1994 (26)	R	7	29.1	3.7	9.6	.388	2.3	7.4	.308	1.3	1.7	.750	0.7	2.9	0.4	2.9	3.3	1.1	0.3	0.1	11.0
9	Marquese Chriss	GSW	C	6-9	240	7/2/1997 (23)	3	59	20.3	3.6	6.5	.545	0.1	0.7	.205	2.0	2.6	.769	1.3	2.1	1.9	4.3	6.2	1.9	0.7	1.1	9.3
10	Dragan Bender	GSW	SF	7-0	249	11/17/1997 (22)	3	9	21.6	3.4	7.9	.437	1.2	3.8	.324	0.9	1.2	.727	1.8	2.9	1.8	4.1	5.9	2.1	0.4	0.4	9.0
11	Jordan Poole	GSW	SG	6-4	194	6/19/1999 (21)	R	57	22.3	2.9	8.8	.333	1.3	4.6	.279	1.7	2.1	.798	1.3	1.6	0.2	1.9	2.1	2.4	0.6	0.2	8.8
12	Jeremy Pargo	GSW	PG	6-2	219	3/7/1986 (34)	2	3	14.8	3.7	7.3	.500	1.0	2.3	.429	0.0	0.3	.000	1.3	2.7	0.3	0.7	1.0	2.7	0.3	0.0	8.3
13	Draymond Green	GSW	PF	6-6	230	3/4/1990 (30)	7	43	28.4	2.9	7.3	.389	0.8	3.0	.279	1.5	1.9	.759	2.3	2.6	0.5	5.7	6.2	6.2	1.4	0.8	8.0
14	Willie Cauley-Stein	GSW						41	22.9	3.5	6.3	.560	0.0	0.0	.000	0.9	1.4	.614	0.9	2.5	1.7	4.5	6.2	1.5	1.1	1.2	7.9
15	Omari Spellman	GSW						49	18.1	2.6	6.0	.431	0.9	2.2	.391	1.5	1.9	.793	1.1	1.3	1.6	2.9	4.5	1.0	0.7	0.5	7.6
16	Ky Bowman	GSW	PG	6-1	187	6/16/1997 (23)	R	45	22.6	3.0	7.1	.417	0.7	2.4	.308	0.8	0.9	.829	1.6	2.3	0.5	2.1	2.7	2.9	1.0	0.2	7.4
17	Juan Toscano-Anderson	GSW	SF	6-6	209	4/10/1993 (27)	R	13	20.9	2.2	4.8	.460	0.6	1.8	.348	0.2	0.4	.600	1.2	2.3	0.7	3.3	4.0	2.0	1.0	0.4	5.3
18	Jacob Evans	GSW						27	15.3	1.7	4.9	.338	0.5	1.4	.342	0.9	1.1	.862	0.9	1.5	0.3	1.2	1.5	1.1	0.4	0.4	4.7
19	Alen Smailagic	GSW	PF	6-10	215	8/18/2000 (20)	R	14	9.9	1.4	2.9	.500	0.2	0.9	.231	1.1	1.4	.842	0.8	1.0	0.7	1.2	1.9	0.9	0.2	0.3	4.2
20	Kevon Looney	GSW	PF	6-9	222	2/6/1996 (24)	4	20	13.1	1.4	4.0	.367	0.1	0.7	.071	0.5	0.6	.750	0.6	1.7	1.4	1.9	3.3	1.0	0.6	0.3	3.4
21	Zach Norvell	GSW	SG	6-5	205	12/9/1997 (22)	R	3	12.0	1.0	3.7	.273	1.0	2.7	.375	0.3	0.3	1.000	1.0	1.3	0.0	1.7	1.7	1.0	0.7	0.0	3.3
22	Chasson Randle	GSW						3	13.5	0.0	1.3	.000	0.0	0.7	.000	1.7	2.0	.833	0.0	1.0	0.0	0.7	0.7	1.7	0.7	0.0	1.7
