1	T.J. Warren	IND	SF	6-8	220	9/5/1993 (27)	5	67	32.9	8.0	14.9	.536	1.4	3.4	.403	2.5	3.0	.819	1.3	2.8	1.0	3.2	4.2	1.5	1.2	0.5	19.8
2	Domantas Sabonis	IND	PF	6-11	240	5/3/1996 (24)	3	62	34.8	7.4	13.7	.540	0.3	1.1	.254	3.5	4.8	.723	2.7	3.1	3.0	9.4	12.4	5.0	0.8	0.5	18.5
3	Malcolm Brogdon	IND	PG	6-5	229	12/11/1992 (27)	3	54	30.9	6.0	13.8	.438	1.4	4.3	.326	3.1	3.4	.892	2.4	1.8	0.9	4.0	4.9	7.1	0.6	0.2	16.5
4	Victor Oladipo	IND	SG	6-4	213	5/4/1992 (28)	6	19	27.8	5.1	12.9	.394	1.7	5.5	.317	2.5	3.1	.814	2.5	1.9	0.5	3.5	3.9	2.9	0.9	0.2	14.5
5	Jeremy Lamb	IND	SG	6-5	180	5/30/1992 (28)	7	46	28.1	4.7	10.4	.451	1.2	3.4	.335	2.0	2.4	.836	1.1	2.3	0.5	3.8	4.3	2.1	1.2	0.5	12.5
6	Myles Turner	IND	C	6-11	250	3/24/1996 (24)	4	62	29.5	4.3	9.5	.457	1.4	4.0	.344	2.0	2.7	.751	1.4	2.7	1.4	5.2	6.6	1.2	0.7	2.1	12.1
7	Doug McDermott	IND	SF	6-7	225	1/3/1992 (28)	5	69	19.9	3.9	7.9	.488	1.9	4.3	.435	0.7	0.8	.828	0.6	1.7	0.4	2.1	2.5	1.1	0.2	0.1	10.3
8	Aaron Holiday	IND	PG	6-0	185	9/30/1996 (24)	1	66	24.5	3.5	8.5	.414	1.3	3.3	.394	1.1	1.3	.851	1.3	1.8	0.3	2.0	2.4	3.4	0.8	0.2	9.5
9	Justin Holiday	IND	SF	6-6	180	4/5/1989 (31)	6	73	25.0	2.8	6.7	.428	1.8	4.5	.405	0.7	0.9	.791	0.6	1.9	0.4	2.8	3.3	1.3	1.2	0.6	8.3
10	T.J. McConnell	IND	PG	6-1	190	3/25/1992 (28)	4	71	18.7	3.0	5.8	.516	0.1	0.2	.294	0.5	0.6	.833	1.4	1.0	0.5	2.1	2.7	5.0	0.8	0.2	6.5
11	Edmond Sumner	IND	PG	6-4	196	12/31/1995 (24)	2	31	14.4	2.0	4.6	.430	0.5	1.7	.264	0.5	0.9	.552	0.7	1.4	0.4	1.1	1.5	1.8	0.5	0.3	4.9
12	JaKarr Sampson	IND	SF	6-7	214	3/20/1993 (27)	4	34	13.8	2.0	3.4	.591	0.1	0.4	.154	0.5	0.8	.667	0.4	1.9	0.6	2.0	2.6	0.6	0.5	0.4	4.6
13	Goga Bitadze	IND	C	6-11	250	7/20/1999 (21)	R	54	8.7	1.3	2.8	.467	0.1	0.8	.190	0.4	0.6	.727	0.5	1.2	0.5	1.5	2.0	0.4	0.2	0.7	3.2
14	T.J. Leaf	IND	PF	6-10	222	4/30/1997 (23)	2	28	7.9	1.3	3.1	.419	0.2	0.6	.278	0.2	0.6	.438	0.3	0.8	0.8	1.7	2.5	0.3	0.4	0.1	3.0
15	Naz Long	IND	SG	6-3	218	8/3/1993 (27)	2	5	9.4	1.2	3.4	.353	0.4	2.4	.167	0.0	0.0	.000	0.6	0.4	0.0	1.4	1.4	1.6	0.2	0.2	2.8
16	Alize Johnson	IND	PF	6-7	212	4/22/1996 (24)	1	17	6.9	0.7	1.7	.414	0.2	0.5	.375	0.4	0.6	.700	0.4	0.7	0.9	1.9	2.8	0.4	0.2	0.1	2.0
17	Brian Bowen II	IND	SG	6-6	190	10/2/1998 (22)	R	6	5.2	0.5	1.7	.300	0.0	0.3	.000	0.0	0.0	.000	0.2	0.5	0.2	1.0	1.2	0.0	0.0	0.2	1.0
