1	Kawhi Leonard	LAC	SF	6, 7	225	6/29/1991 (29)	 8	57	32.4	 9.3	19.9	.470	2.2	5.7	.378	 6.2	 7.1	 .886	2.6	2.0	0.9	 6.1	 7.1	 4.9	1.8	0.6	27.1
2	Paul George	LAC	SG	6, 8	220	5/2/1990 (30)	 9	48	29.6	 7.1	16.3	.439	3.3	7.9	.412	 4.0	 4.5	 .876	2.6	2.4	0.5	 5.2	 5.7	 3.9	1.4	0.4	21.5
3	Montrezl Harrell	LAC	PF	6, 7	240	1/26/1994 (26)	 4	63	27.8	 7.5	12.9	.580	0.0	0.3	.000	 3.7	 5.6	 .658	1.7	2.3	2.6	 4.5	 7.1	 1.7	0.6	1.1	18.6
4	Lou Williams	LAC	SG	6, 1	175	10/27/1986 (33)	14	65	28.7	 6.0	14.4	.418	1.7	4.8	.352	 4.5	 5.2	 .861	2.8	1.2	0.5	 2.6	 3.1	 5.6	0.7	0.2	18.2
5	Marcus Morris	LAC	SF	6, 8	218	9/2/1989 (30)	 8	19	28.9	 3.9	 9.2	.425	1.4	4.4	.310	 0.9	 1.2	 .818	1.3	2.7	0.6	 3.5	 4.1	 1.4	0.7	0.7	10.1
6	Reggie Jackson	LAC	PG	6, 3	208	4/16/1990 (30)	 8	17	21.3	 3.4	 7.5	.453	1.5	3.7	.413	 1.1	 1.2	 .905	1.6	2.2	0.4	 2.6	 3.0	 3.2	0.3	0.2	 9.5
7	Landry Shamet	LAC	SG	6, 4	190	3/13/1997 (23)	 1	53	27.4	 3.0	 7.4	.404	2.1	5.6	.375	 1.2	 1.4	 .855	0.8	2.7	0.1	 1.8	 1.9	 1.9	0.4	0.2	 9.3
8	Ivica Zubac	LAC	C	7,0	240	3/18/1997 (23)	 3	72	18.4	 3.3	 5.4	.611	0.0	0.0	.000	 1.7	 2.3	 .747	0.8	2.3	2.8	 4.8	 7.6	 1.1	0.2	0.9	 8.3
9	Patrick Beverley	LAC	PG	6, 1	180	7/12/1988 (32)	 7	51	26.3	 2.9	 6.7	.431	1.6	4.0	.388	 0.6	 0.9	 .660	1.3	3.1	1.1	 4.1	 5.2	 3.6	1.1	0.5	 7.9
10	JaMychal Green	LAC	PF	6, 8	227	6/21/1990 (30)	 5	63	20.7	 2.4	 5.6	.429	1.5	3.8	.387	 0.6	 0.8	 .750	0.9	2.8	1.2	 4.9	 6.2	 0.8	0.5	0.4	 6.8
12	Patrick Patterson	LAC	PF	6, 8	235	3/14/1989 (31)	 9	59	13.2	 1.6	 3.9	.408	1.1	2.9	.390	 0.6	 0.7	 .814	0.4	0.9	0.6	 2.0	 2.6	 0.7	0.1	0.1	 4.9
14	Rodney McGruder	LAC	SG	6, 4	205	7/29/1991 (29)	 3	56	15.6	 1.3	 3.2	.398	0.4	1.6	.270	 0.3	 0.6	 .559	0.4	1.3	0.5	 2.2	 2.7	 0.6	0.5	0.1	 3.3
15	Amir Coffey	LAC	SG	6, 7	210	6/17/1997 (23)	 0	18	 8.8	 1.3	 3.0	.426	0.3	1.1	.316	 0.3	 0.6	 .545	0.4	1.1	0.2	 0.7	 0.9	 0.8	0.3	0.1	 3.2
17	Joakim Noah	LAC	C	6,11	230	2/25/1985 (35)	12	 5	10.0	 0.8	 1.6	.500	0.0	0.0	.000	 1.2	 1.6	 .750	1.2	1.8	1.0	 2.2	 3.2	 1.4	0.2	0.2	 2.8
18	Terance Mann	LAC	SG	6, 5	215	10/18/1996 (23)	 0	41	 8.8	 0.9	 1.9	.468	0.2	0.5	.350	 0.4	 0.7	 .667	0.4	1.1	0.2	 1.1	 1.3	 1.3	0.3	0.1	 2.4
