1	Brandon Ingram	NOP	SF	6-7	190	9/2/1997 (23)	3	62	33.9	8.2	17.7	.463	2.4	6.2	.391	5.0	5.9	.851	3.0	2.9	0.8	5.3	6.1	4.2	1.0	0.6	23.8
2	Zion Williamson	NOP	SF	6-6	284	7/6/2000 (20)	R	24	27.8	8.8	15.0	.583	0.2	0.6	.429	4.8	7.4	.640	2.5	1.8	2.7	3.6	6.2	2.1	0.7	0.4	22.5
3	Jrue Holiday	NOP	PG	6-3	205	6/12/1990 (30)	10	61	34.7	7.5	16.5	.455	2.0	5.7	.353	2.1	3.0	.709	3.0	2.4	1.3	3.5	4.8	6.7	1.6	0.8	19.1
4	J.J. Redick	NOP	SG	6-3	200	6/24/1984 (36)	13	60	26.3	4.8	10.5	.453	3.0	6.6	.453	2.8	3.1	.892	1.2	1.6	0.2	2.4	2.5	2.0	0.3	0.2	15.3
5	Lonzo Ball	NOP	PG	6-6	190	10/27/1997 (22)	2	63	32.1	4.4	10.9	.403	2.3	6.3	.375	0.7	1.2	.566	3.1	2.0	1.1	5.0	6.1	7.0	1.4	0.6	11.8
6	Josh Hart	NOP	SF	6-5	215	3/6/1995 (25)	2	65	27.0	3.5	8.2	.423	1.9	5.4	.342	1.3	1.8	.739	1.2	2.5	0.9	5.6	6.5	1.7	1.0	0.4	10.1
7	Derrick Favors	NOP	C	6-9	265	7/15/1991 (29)	9	51	24.4	4.1	6.6	.617	0.0	0.1	.143	0.8	1.4	.563	1.1	2.1	3.2	6.6	9.8	1.6	0.6	0.9	9.0
8	E'Twaun Moore	NOP	SG	6-3	191	2/25/1989 (31)	8	56	18.2	3.3	7.8	.426	1.1	3.0	.377	0.6	0.8	.689	0.7	1.4	0.6	1.8	2.3	1.4	0.6	0.2	8.3
9	Jahlil Okafor	NOP	C	6-10	270	12/15/1995 (24)	4	30	15.6	3.4	5.4	.623	0.0	0.1	.333	1.3	2.1	.645	1.3	2.2	1.6	2.6	4.2	1.2	0.2	0.7	8.1
10	Sindarius Thornwell	NOP	SG	6-5	215	11/15/1994 (25)	2	2	17.7	3.0	5.5	.545	1.0	2.0	.500	1.0	2.0	.500	1.0	1.0	0.0	2.0	2.0	2.0	0.5	0.5	8.0
11	Jaxson Hayes	NOP	C	6-11	220	5/23/2000 (20)	R	64	16.9	2.7	4.1	.669	0.0	0.1	.250	1.9	3.0	.647	0.8	2.5	1.5	2.5	4.1	0.9	0.4	0.9	7.4
12	Nicolo Melli	NOP	PF	6-9	236	1/26/1991 (29)	R	60	17.4	2.3	5.4	.421	1.1	3.4	.335	0.9	1.2	.740	0.8	2.1	0.6	2.4	3.0	1.4	0.6	0.4	6.6
13	Frank Jackson	NOP	PG	6-3	205	5/4/1998 (22)	1	59	13.5	2.3	5.6	.405	0.8	2.4	.326	0.9	1.3	.747	0.8	1.3	0.4	1.0	1.4	1.0	0.3	0.1	6.3
14	Nickeil Alexander-Walker	NOP	SG	6-5	205	9/2/1998 (22)	R	47	12.6	2.1	5.7	.368	1.0	2.8	.346	0.5	0.8	.676	1.1	1.2	0.2	1.6	1.8	1.9	0.4	0.2	5.7
15	Kenrich Williams	NOP	SF	6-6	210	12/2/1994 (25)	1	39	21.3	1.3	3.8	.347	0.6	2.5	.258	0.2	0.7	.346	0.6	2.3	1.3	3.5	4.8	1.5	0.7	0.5	3.5
16	Zylan Cheatham	NOP	SF	6-5	220	11/17/1995 (24)	R	4	12.8	1.5	2.2	.667	0.0	0.2	.000	0.0	0.0	.000	1.0	2.5	0.8	1.5	2.2	0.8	0.2	0.2	3.0
17	Joshia Gray	NOP						2	11.4	0.5	1.0	.500	0.0	0.0	.000	0.0	0.0	.000	2.5	0.5	0.5	0.5	1.0	1.0	0.0	0.0	1.0
