1	Shai Gilgeous-Alexander	OKC	SG	6-5	180	7/12/1998 (22)	1	70	34.7	6.8	14.5	.471	1.2	3.6	.347	4.1	5.1	.807	1.9	1.7	0.7	5.2	5.9	3.3	1.1	0.7	19.0
2	Dennis Schroder	OKC	PG	6-1	172	9/15/1993 (27)	6	65	30.8	7.0	14.8	.469	1.9	5.0	.385	3.0	3.6	.839	2.6	2.2	0.3	3.3	3.6	4.0	0.7	0.2	18.9
3	Danilo Gallinari	OKC	SF	6-10	233	8/8/1988 (32)	10	62	29.6	5.8	13.2	.438	2.9	7.1	.405	4.3	4.8	.893	1.2	1.2	0.5	4.6	5.2	1.9	0.7	0.1	18.7
4	Chris Paul	OKC	PG	6-1	175	5/6/1985 (35)	14	70	31.5	6.2	12.7	.489	1.6	4.3	.365	3.6	4.0	.907	2.3	2.3	0.4	4.6	5.0	6.7	1.6	0.2	17.6
5	Steven Adams	OKC	C	6-11	265	7/20/1993 (27)	6	63	26.7	4.5	7.6	.592	0.0	0.0	.333	1.9	3.2	.582	1.5	1.9	3.3	6.0	9.3	2.3	0.8	1.1	10.9
6	Nerlens Noel	OKC	C	6-10	220	4/10/1994 (26)	5	61	18.5	3.0	4.4	.684	0.0	0.0	.333	1.3	1.7	.755	1.1	2.7	1.5	3.4	4.9	0.9	1.0	1.5	7.4
7	Hamidou Diallo	OKC	SG	6-5	202	7/31/1998 (22)	1	46	19.5	2.9	6.4	.446	0.3	1.2	.281	0.8	1.4	.603	1.1	2.2	1.0	2.7	3.6	0.8	0.8	0.2	6.9
8	Luguentz Dort	OKC	SG	6-3	215	4/19/1999 (21)	R	36	22.8	2.4	6.1	.394	0.8	2.8	.297	1.2	1.5	.792	0.6	2.7	0.7	1.6	2.2	0.8	0.9	0.1	6.8
9	Abdel Nader	OKC	SF	6-5	225	9/25/1993 (27)	2	55	15.8	2.2	4.8	.468	0.9	2.3	.375	0.9	1.2	.773	0.8	1.4	0.3	1.6	1.8	0.7	0.4	0.4	6.3
10	Darius Bazley	OKC	SF	6-8	208	6/12/2000 (20)	R	61	18.5	2.0	5.2	.394	0.8	2.3	.348	0.7	1.0	.694	0.7	0.9	0.5	3.5	4.0	0.7	0.4	0.7	5.6
11	Mike Muscala	OKC	PF	6-10	240	7/1/1991 (29)	6	47	12.2	1.6	4.0	.407	1.1	3.0	.378	0.4	0.5	.818	0.4	1.2	0.3	2.0	2.3	0.9	0.2	0.3	4.8
12	Terrance Ferguson	OKC	SF	6-6	190	5/17/1998 (22)	2	56	22.5	1.4	3.9	.355	0.9	3.0	.292	0.3	0.4	.750	0.6	2.8	0.4	0.9	1.3	0.9	0.5	0.3	3.9
13	Andre Roberson	OKC	SG	6-7	210	12/4/1991 (28)	5	7	12.4	1.1	4.1	.276	0.4	2.0	.214	0.1	0.3	.500	0.3	1.9	1.0	2.9	3.9	0.6	0.1	0.4	2.9
14	Deonte Burton	OKC	SG	6-4	240	1/31/1994 (26)	1	39	9.1	1.1	3.2	.344	0.3	1.4	.189	0.2	0.4	.571	0.5	0.9	0.2	1.3	1.5	0.4	0.2	0.3	2.7
15	Devon Hall	OKC	SG	6-2	215	7/7/1995 (25)	R	11	7.3	0.5	2.7	.200	0.4	1.5	.235	0.4	0.7	.500	0.5	0.5	0.2	0.5	0.6	1.2	0.4	0.1	1.8
16	Justin Patton	OKC						5	4.8	0.8	2.0	.400	0.2	0.8	.250	0.0	0.0	.000	0.4	0.8	0.2	0.8	1.0	0.4	0.0	0.0	1.8
17	Kevin Hervey	OKC	PF	6-9	230	7/9/1996 (24)	R	10	5.2	0.7	2.7	.259	0.3	2.0	.150	0.0	0.0	.000	0.0	0.4	0.1	1.1	1.2	0.5	0.1	0.1	1.7
18	Isaiah Roby	OKC						3	3.8	0.0	0.3	.000	0.0	0.0	.000	0.0	0.0	.000	0.3	0.3	0.0	0.7	0.7	0.0	0.0	0.0	0.0
