1	Nikola Vucevic	ORL	C	6-11	260	10/24/1990 (29)	8	62	32.2	8.0	16.7	.477	1.6	4.7	.339	2.1	2.7	.784	1.4	2.2	2.3	8.6	10.8	3.6	0.9	0.8	19.6
2	Evan Fournier	ORL	SG	6-7	205	10/29/1992 (27)	7	66	31.4	6.6	14.1	.467	2.6	6.6	.399	2.7	3.3	.818	1.9	2.4	0.3	2.3	2.6	3.2	1.1	0.2	18.5
3	Terrence Ross	ORL	SG	6-6	206	2/5/1991 (29)	7	69	27.4	4.9	12.3	.403	2.6	7.3	.351	2.3	2.7	.853	1.0	1.6	0.2	3.0	3.2	1.2	1.1	0.3	14.7
4	Aaron Gordon	ORL	PF	6-8	235	9/16/1995 (25)	5	62	32.5	5.4	12.4	.437	1.2	3.8	.308	2.4	3.6	.674	1.6	2.0	1.7	5.9	7.7	3.7	0.8	0.6	14.4
5	Markelle Fultz	ORL	PG	6-3	209	5/29/1998 (22)	2	72	27.7	5.0	10.7	.465	0.5	1.9	.267	1.6	2.2	.730	2.0	2.0	0.6	2.8	3.3	5.1	1.2	0.2	12.1
6	Jonathan Isaac	ORL	PF	6-11	230	10/3/1997 (23)	2	34	28.8	4.6	9.8	.470	0.9	2.8	.340	1.8	2.3	.779	1.4	2.4	1.7	5.1	6.8	1.4	1.6	2.3	11.9
7	D.J. Augustin	ORL	PG	5-11	183	11/10/1987 (32)	11	57	24.9	3.2	8.1	.399	1.2	3.5	.348	2.8	3.2	.890	1.5	1.3	0.4	1.8	2.1	4.6	0.6	0.0	10.5
8	James Ennis	ORL	SF	6-6	215	7/1/1990 (30)	5	20	24.5	3.0	6.7	.451	0.9	3.1	.286	1.6	1.9	.838	1.4	2.6	1.1	3.6	4.8	1.1	0.6	0.4	8.4
9	Michael Carter-Williams	ORL	PG	6-5	190	10/10/1991 (29)	6	45	18.5	2.5	5.8	.427	0.5	1.7	.293	1.8	2.1	.832	1.2	1.9	1.0	2.2	3.3	2.4	1.1	0.5	7.2
10	Wesley Iwundu	ORL	SF	6-6	195	12/20/1994 (25)	2	52	18.3	1.9	4.5	.416	0.5	1.6	.341	1.5	1.9	.804	0.5	1.5	0.5	2.1	2.5	1.2	0.5	0.2	5.8
11	Mohamed Bamba	ORL	C	7-0	231	5/12/1998 (22)	1	62	14.2	2.1	4.6	.462	0.6	1.7	.346	0.5	0.7	.674	0.7	1.9	1.6	3.3	4.9	0.7	0.4	1.4	5.4
12	Khem Birch	ORL	PF	6-9	233	9/28/1992 (28)	2	48	19.2	1.5	3.0	.510	0.0	0.0	.000	1.4	2.1	.653	0.6	1.9	1.9	2.7	4.6	1.0	0.4	0.5	4.4
13	Al-Farouq Aminu	ORL						18	21.1	1.4	4.8	.291	0.5	2.0	.250	1.1	1.6	.655	0.9	1.5	1.3	3.5	4.8	1.2	1.0	0.4	4.3
14	Gary Clark	ORL	PF	6-6	225	11/16/1994 (25)	1	24	14.8	1.3	3.1	.419	0.9	2.5	.350	0.1	0.1	1.000	0.3	1.0	1.1	1.8	2.9	0.2	0.2	0.6	3.6
15	B.J. Johnson	ORL	SF	6-7	200	12/21/1995 (24)	1	10	8.3	0.9	3.2	.281	0.3	0.9	.333	0.9	1.0	.900	0.6	0.3	0.3	1.2	1.5	0.3	0.3	0.0	3.0
16	Melvin Frazier, Jr.	ORL	SG	6-5	215	8/30/1996 (24)	1	19	6.6	0.8	1.8	.441	0.4	0.8	.500	0.1	0.2	.500	0.3	0.6	0.1	0.4	0.5	0.2	0.5	0.1	2.1
17	Vic Law	ORL	F	6-7	200	12/19/1995 (24)	R	8	7.7	0.8	2.2	.333	0.1	0.9	.143	0.2	0.8	.333	0.2	0.8	0.2	1.1	1.4	0.4	0.2	0.0	1.9
