1	Joel Embiid	PHI	C	7-0	280	3/16/1994 (26)	3	51	29.5	7.5	15.7	.477	1.1	3.4	.331	6.9	8.5	.807	3.1	3.4	2.8	8.9	11.6	3.0	0.9	1.3	23.0
2	Tobias Harris	PHI	SF	6-8	226	7/15/1992 (28)	8	72	34.3	7.7	16.3	.471	1.8	5.0	.367	2.4	3.0	.805	1.4	2.3	1.0	5.9	6.9	3.2	0.7	0.6	19.6
3	Ben Simmons	PHI	PG	6-10	240	7/20/1996 (24)	2	57	35.4	6.6	11.4	.580	0.0	0.1	.286	3.2	5.2	.621	3.5	3.3	2.0	5.8	7.8	8.0	2.1	0.6	16.4
4	Josh Richardson	PHI	SG	6-5	200	9/15/1993 (27)	4	55	30.8	5.1	11.7	.430	1.5	4.5	.341	2.1	2.6	.809	1.9	2.5	0.7	2.4	3.2	2.9	0.9	0.7	13.7
5	Alec Burks	PHI	SG	6-6	214	7/20/1991 (29)	8	18	20.2	4.3	9.3	.461	1.8	4.3	.416	1.9	2.3	.829	0.8	1.2	0.6	2.5	3.1	2.1	0.7	0.0	12.2
6	Al Horford	PHI	C	6-9	240	6/3/1986 (34)	12	67	30.2	4.8	10.6	.450	1.5	4.2	.350	0.9	1.2	.762	1.2	2.1	1.5	5.3	6.8	4.0	0.8	0.9	11.9
7	Furkan Korkmaz	PHI	SG	6-7	202	7/24/1997 (23)	2	72	21.7	3.4	7.8	.430	2.0	4.9	.402	1.1	1.4	.755	0.8	1.4	0.2	2.1	2.3	1.1	0.6	0.2	9.8
8	Shake Milton	PHI	SG	6-5	205	9/26/1996 (24)	1	40	20.1	3.4	6.9	.484	1.4	3.4	.430	1.3	1.6	.785	1.2	2.3	0.4	1.8	2.2	2.6	0.5	0.2	9.4
9	Glenn Robinson	PHI	SF	6-6	222	1/8/1994 (26)	5	14	19.3	3.1	6.1	.518	0.6	1.9	.333	0.8	0.9	.917	0.4	1.3	1.1	2.1	3.1	0.8	0.6	0.1	7.7
10	Mike Scott	PHI	PF	6-7	237	7/16/1988 (32)	7	68	17.8	2.2	5.1	.426	1.2	3.2	.369	0.4	0.5	.811	0.4	1.4	1.0	2.7	3.6	0.8	0.3	0.1	6.0
11	Trey Burke	PHI						25	13.1	2.4	5.1	.465	0.6	1.5	.421	0.5	0.7	.722	0.5	0.8	0.6	0.8	1.4	2.1	0.3	0.0	5.9
12	James Ennis	PHI						49	15.8	2.0	4.6	.442	0.8	2.2	.349	1.0	1.2	.787	0.6	1.7	1.0	2.1	3.1	0.8	0.5	0.3	5.8
13	Raulzinho Neto	PHI	PG	6-1	180	5/19/1992 (28)	4	54	12.4	1.9	4.1	.455	0.6	1.6	.386	0.7	0.9	.830	0.9	0.9	0.2	0.9	1.1	1.8	0.4	0.1	5.1
14	Matisse Thybulle	PHI	SG	6-5	201	3/4/1997 (23)	R	65	19.8	1.7	4.1	.423	0.9	2.4	.357	0.4	0.6	.610	0.8	2.2	0.7	1.0	1.6	1.2	1.4	0.7	4.7
15	Kyle O'Quinn	PHI	C	6-9	250	3/26/1990 (30)	7	29	10.8	1.4	2.9	.494	0.2	0.9	.259	0.4	0.7	.550	0.7	1.3	1.2	2.8	4.0	1.8	0.2	0.8	3.5
16	Marial Shayok	PHI	SG	6-5	198	7/26/1995 (25)	R	4	7.0	0.8	3.0	.250	0.5	1.5	.333	0.8	1.0	.750	0.8	1.0	0.2	1.5	1.8	0.2	0.0	0.2	2.8
17	Norvel Pelle	PHI	SF	6-10	231	2/3/1993 (27)	R	24	9.7	1.0	2.0	.521	0.0	0.0	.000	0.3	0.6	.500	0.8	2.3	0.8	2.2	3.0	0.3	0.1	1.3	2.4
