1	Devin Booker	PHX	SG	6-5	206	10/30/1996 (23)	4	70	35.9	9.0	18.3	.489	2.0	5.7	.354	6.7	7.3	.919	3.8	3.0	0.4	3.8	4.2	6.5	0.7	0.3	26.6
2	Kelly Oubre, Jr.	PHX	SF	6-7	203	12/9/1995 (24)	4	56	34.5	6.7	14.8	.452	1.9	5.5	.352	3.4	4.4	.780	1.5	3.4	1.2	5.2	6.4	1.5	1.3	0.7	18.7
3	Deandre Ayton	PHX	C	6-11	250	7/23/1998 (22)	1	38	32.5	8.2	14.9	.546	0.1	0.3	.231	1.8	2.3	.753	2.1	3.1	3.9	7.6	11.5	1.9	0.7	1.5	18.2
4	Ricky Rubio	PHX	PG	6-3	190	10/21/1990 (30)	8	65	31.0	4.4	10.6	.415	1.2	3.3	.361	3.0	3.5	.863	2.7	2.6	0.7	4.0	4.7	8.8	1.4	0.2	13.0
5	Aron Baynes	PHX	C	6-10	260	12/9/1986 (33)	7	42	22.2	4.4	9.1	.480	1.4	4.0	.351	1.3	1.8	.747	1.2	3.4	1.7	4.0	5.6	1.6	0.2	0.5	11.5
6	Cameron Payne	PHX	PG	6-3	190	8/8/1994 (26)	4	8	22.9	4.1	8.5	.485	1.9	3.6	.517	0.8	0.9	.857	1.4	2.5	0.5	3.4	3.9	3.0	1.0	0.2	10.9
7	Dario Saric	PHX	PF	6-10	225	4/8/1994 (26)	3	66	24.7	3.9	8.2	.476	1.3	3.6	.357	1.6	1.9	.844	1.3	2.4	1.5	4.7	6.2	1.9	0.6	0.2	10.7
8	Frank Kaminsky	PHX	C	7-0	240	4/4/1993 (27)	4	39	19.9	3.5	7.9	.450	1.1	3.2	.331	1.6	2.3	.678	0.9	1.9	0.9	3.6	4.5	1.9	0.4	0.3	9.7
9	Mikal Bridges	PHX	SF	6-6	209	8/30/1996 (24)	1	73	28.0	3.4	6.6	.510	1.0	2.7	.361	1.4	1.7	.844	1.0	2.2	0.9	3.1	4.0	1.8	1.4	0.6	9.1
10	Cameron Johnson	PHX	SF	6-8	210	3/3/1996 (24)	R	57	22.0	3.1	7.1	.435	1.9	4.8	.390	0.8	1.0	.807	0.6	1.5	0.9	2.4	3.3	1.2	0.6	0.4	8.8
11	Tyler Johnson	PHX						31	16.6	2.1	5.5	.380	0.8	2.7	.289	0.8	1.0	.750	0.8	1.4	0.3	1.4	1.7	1.6	0.4	0.3	5.7
12	Jevon Carter	PHX	PG	6-1	200	9/14/1995 (25)	1	58	16.3	1.7	4.2	.416	1.1	2.5	.425	0.4	0.5	.852	0.6	1.5	0.5	1.5	2.0	1.4	0.8	0.3	4.9
13	Cheick Diallo	PHX	PF	6-8	219	9/13/1996 (24)	3	47	10.2	2.0	3.0	.648	0.0	0.1	.333	0.7	0.8	.872	0.7	1.2	0.6	2.1	2.8	0.5	0.2	0.3	4.7
14	Elie Okobo	PHX	SF	6-3	190	10/23/1997 (23)	1	55	13.1	1.3	3.3	.398	0.5	1.3	.352	0.9	1.3	.704	0.7	1.0	0.3	1.3	1.6	2.1	0.4	0.1	4.0
15	Ty Jerome	PHX	SG	6-5	195	7/8/1997 (23)	R	31	10.6	1.2	3.6	.336	0.5	1.6	.280	0.4	0.5	.750	0.6	0.9	0.2	1.3	1.5	1.4	0.5	0.1	3.3
16	Jonah Bolden	PHX						3	10.9	0.7	2.7	.250	0.0	1.0	.000	0.7	0.7	1.000	0.0	2.0	1.0	1.7	2.7	0.0	0.7	0.7	2.0
17	Jalen Lecque	PHX	PG	6-4	185	6/13/2000 (20)	R	5	6.3	0.8	2.0	.400	0.0	0.8	.000	0.4	0.4	1.000	0.4	0.6	0.0	0.4	0.4	0.4	0.0	0.0	2.0
