1	De'Aaron Fox	SAC	PG	6-3	185	12/20/1997 (22)	2	51	32.0	7.7	16.0	.480	1.1	3.6	.292	4.7	6.7	.705	3.1	2.8	0.7	3.2	3.8	6.8	1.5	0.5	21.1
2	Buddy Hield	SAC	SG	6-4	220	12/17/1992 (27)	3	72	30.8	6.9	16.1	.429	3.8	9.6	.394	1.6	1.9	.846	2.3	2.3	0.8	3.8	4.6	3.0	0.9	0.2	19.2
3	Bogdan Bogdanovic	SAC	SG	6-6	220	8/18/1992 (28)	2	61	28.9	5.5	12.6	.440	2.7	7.2	.372	1.4	1.9	.741	1.7	2.2	0.4	3.0	3.4	3.4	1.0	0.2	15.1
4	Harrison Barnes	SAC	SF	6-8	225	5/30/1992 (28)	7	72	34.5	5.1	11.0	.460	1.4	3.7	.381	3.0	3.7	.801	1.2	1.3	1.1	3.9	4.9	2.2	0.6	0.2	14.5
5	Marvin Bagley III	SAC	PF	6-11	235	3/14/1999 (21)	1	13	25.7	6.0	12.8	.467	0.3	1.7	.182	1.9	2.4	.806	1.4	3.3	2.2	5.2	7.5	0.8	0.5	0.9	14.2
6	Richaun Holmes	SAC	C	6-10	235	10/15/1993 (27)	4	44	28.2	5.1	7.8	.648	0.0	0.0	.000	2.1	2.7	.788	1.2	3.8	2.9	5.2	8.1	1.0	0.9	1.3	12.2
7	Nemanja Bjelica	SAC	PF	6-10	234	5/9/1988 (32)	4	72	27.9	4.4	9.1	.481	1.9	4.4	.419	1.0	1.2	.821	1.4	3.0	1.5	4.8	6.4	2.8	0.9	0.6	11.5
8	Kent Bazemore	SAC	SF	6-4	195	7/1/1989 (31)	7	25	23.1	3.5	8.3	.418	1.1	2.9	.384	2.2	3.0	.733	1.2	3.0	0.6	4.3	4.9	1.3	1.2	0.4	10.3
10	Harry Giles	SAC	C	6-11	240	4/22/1998 (22)	1	46	14.5	3.0	5.5	.554	0.0	0.0	.000	0.8	1.1	.776	1.0	2.6	0.9	3.2	4.1	1.3	0.5	0.4	6.9
11	Cory Joseph	SAC	PG	6-3	200	8/20/1991 (29)	8	72	24.4	2.4	5.7	.415	0.8	2.2	.352	0.8	1.0	.857	1.1	1.8	0.6	2.0	2.6	3.5	0.7	0.3	6.4
12	Trevor Ariza	SAC						32	24.7	2.0	5.2	.388	1.3	3.8	.352	0.7	0.8	.778	0.9	2.0	0.7	3.9	4.6	1.6	1.1	0.2	6.0
13	Eric Mika	SAC						1	19.1	2.0	3.0	.667	0.0	0.0	.000	2.0	2.0	1.000	0.0	5.0	2.0	5.0	7.0	0.0	0.0	0.0	6.0
14	Alex Len	SAC	C	7-0	250	6/16/1993 (27)	6	15	15.0	2.3	3.9	.593	0.1	0.2	.667	1.1	1.6	.708	1.1	2.3	2.1	4.0	6.1	0.5	0.2	1.0	5.9
15	Dewayne Dedmon	SAC						34	15.9	2.0	5.0	.404	0.4	2.1	.197	0.7	0.8	.821	1.4	2.7	1.4	3.6	4.9	0.4	0.4	0.8	5.1
16	Yogi Ferrell	SAC	PG	6-0	178	5/9/1993 (27)	3	50	10.6	1.6	3.8	.420	0.5	1.6	.304	0.7	0.8	.857	0.6	0.8	0.1	0.9	1.0	1.4	0.4	0.1	4.4
17	DaQuan Jeffries	SAC	SG	6-5	230	8/30/1997 (23)	R	13	10.9	1.5	3.1	.500	0.4	1.4	.278	0.4	0.5	.833	0.2	1.5	0.2	1.2	1.4	0.5	0.3	0.1	3.8
18	Justin James	SAC	SG	6-7	190	1/24/1997 (23)	R	36	6.5	1.0	2.3	.417	0.2	0.8	.310	0.3	0.6	.476	0.2	0.5	0.2	0.7	0.9	0.5	0.2	0.2	2.5
19	Wenyen Gabriel	SAC						11	5.6	0.5	1.5	.353	0.1	0.7	.125	0.5	0.9	.600	0.5	0.6	0.4	0.5	0.9	0.3	0.3	0.2	1.7
20	Kyle Guy	SAC	SG	6-1	167	8/11/1997 (23)	R	3	3.2	0.7	1.7	.400	0.0	1.0	.000	0.0	0.0	.000	0.0	0.3	0.0	0.3	0.3	0.3	0.0	0.0	1.3
21	Corey Brewer	SAC	SF	6-9	186	3/5/1986 (34)	12	5	6.5	0.4	0.8	.500	0.0	0.2	.000	0.2	0.6	.333	0.4	1.4	0.4	1.2	1.6	0.4	0.8	0.0	1.0
22	Anthony Tolliver	SAC						9	9.1	0.3	1.9	.176	0.2	1.7	.133	0.1	0.2	.500	0.4	0.7	0.2	1.0	1.2	0.3	0.4	0.1	1.0
23	Caleb Swanigan	SAC						7	3.3	0.3	0.6	.500	0.0	0.0	.000	0.1	0.3	.500	0.9	1.1	0.3	0.7	1.0	0.3	0.1	0.3	0.7
3	Jabari Parker	SAC	PF	6-8	245	3/15/1995 (25)	5	32	26.2	6.2	12.3	.504	1.0	3.6	.270	1.7	2.2	.736	1.9	2.9	1.7	4.3	6.0	1.8	1.3	0.5	15.0
