1	DeMar DeRozan	SAS	SG	6-6	220	8/7/1989 (31)	10	68	34.1	8.2	15.4	.531	0.1	0.5	.257	5.6	6.6	.845	2.4	2.6	0.6	4.9	5.5	5.6	1.0	0.3	22.1
2	LaMarcus Aldridge	SAS						53	33.1	7.4	15.0	.493	1.2	3.0	.389	3.0	3.6	.827	1.4	2.4	1.9	5.5	7.4	2.4	0.7	1.6	18.9
3	Patty Mills	SAS	PG	6-1	180	8/11/1988 (32)	10	66	22.5	3.9	9.1	.431	2.3	6.1	.382	1.5	1.7	.866	0.8	1.6	0.3	1.3	1.6	1.8	0.8	0.1	11.6
4	Derrick White	SAS	PG	6-4	190	7/2/1994 (26)	2	68	24.7	3.7	8.1	.458	1.2	3.2	.366	2.6	3.1	.853	1.3	2.2	0.5	2.8	3.3	3.5	0.6	0.9	11.2
5	Bryn Forbes	SAS	SG	6-2	205	7/23/1993 (27)	3	63	25.1	3.8	9.2	.417	2.3	6.0	.388	1.2	1.4	.833	0.9	1.8	0.2	1.8	2.0	1.7	0.5	0.0	11.2
6	Dejounte Murray	SAS	PG	6-4	180	9/19/1996 (24)	2	66	25.6	4.5	9.7	.462	0.6	1.7	.369	1.4	1.7	.798	1.9	2.2	1.0	4.8	5.8	4.1	1.7	0.3	10.9
7	Rudy Gay	SAS	SF	6-8	250	8/17/1986 (34)	13	67	21.8	4.0	8.9	.446	1.1	3.3	.336	1.8	2.0	.882	1.3	1.5	0.9	4.5	5.4	1.7	0.5	0.5	10.8
8	Keldon Johnson	SAS	SF	6-5	220	10/11/1999 (21)	R	17	17.7	3.1	5.2	.596	0.8	1.3	.591	2.1	2.6	.795	0.8	1.6	0.6	2.8	3.4	0.9	0.8	0.1	9.1
9	Trey Lyles	SAS	C	6-9	234	11/5/1995 (24)	4	63	20.2	2.4	5.4	.446	1.0	2.7	.387	0.5	0.7	.733	0.6	1.6	1.1	4.6	5.7	1.1	0.4	0.4	6.4
10	Lonnie Walker	SAS	SG	6-5	204	12/14/1998 (21)	1	61	16.2	2.5	5.9	.426	0.7	1.7	.406	0.7	1.0	.721	0.7	1.3	0.4	1.9	2.3	1.1	0.5	0.2	6.4
11	Marco Belinelli	SAS	SG	6-5	220	3/25/1986 (34)	12	57	15.5	2.2	5.5	.392	1.2	3.1	.376	0.8	1.0	.828	0.3	0.8	0.1	1.6	1.7	1.2	0.2	0.0	6.3
12	Jakob Poeltl	SAS	C	7-1	245	10/15/1995 (25)	3	66	17.7	2.5	4.0	.624	0.0	0.0	.000	0.6	1.3	.465	0.8	1.9	2.0	3.7	5.7	1.8	0.6	1.4	5.6
13	Luka Samanic	SAS	PF	6-10	227	1/9/2000 (20)	R	3	16.1	1.7	5.3	.312	1.0	2.7	.375	1.0	1.3	.750	0.7	2.0	0.3	3.0	3.3	2.0	0.0	0.7	5.3
14	Drew Eubanks	SAS	PF	6-10	245	—	R	22	12.4	2.0	3.0	.642	0.0	0.0	1.000	0.9	1.2	.769	1.0	1.7	1.3	2.6	3.9	0.7	0.2	0.8	4.9
15	Chimezie Metu	SAS	PF	6-9	225	3/22/1997 (23)	1	18	5.8	1.3	2.3	.571	0.0	0.1	.000	0.6	0.7	.769	0.6	0.4	0.7	1.2	1.8	0.6	0.2	0.3	3.2
16	DeMarre Carroll	SAS						15	9.0	0.6	1.9	.310	0.2	0.9	.231	0.8	1.3	.600	0.7	1.3	0.5	1.6	2.1	0.7	0.1	0.1	2.2
17	Quinndary Weatherspoon	SAS	SG	6-3	205	9/10/1996 (24)	R	11	7.1	0.5	1.5	.294	0.1	0.5	.200	0.1	0.2	.500	0.5	0.7	0.1	0.5	0.6	1.0	0.3	0.1	1.1
18	Tyler Zeller	SAS	C	7-0	255	1/17/1990 (30)	7	2	1.9	0.5	2.0	.250	0.0	0.0	.000	0.0	0.0	.000	0.0	0.0	1.5	0.5	2.0	0.0	0.0	0.0	1.0
