1	Pascal Siakam	TOR	PF	6-9	230	4/2/1994 (26)	3	60	35.2	8.3	18.4	.453	2.2	6.1	.359	4.0	5.0	.792	2.5	2.8	1.1	6.2	7.3	3.5	1.0	0.9	22.9
2	Kyle Lowry	TOR	PG	6-0	196	3/25/1986 (34)	13	58	36.2	5.8	13.8	.416	2.8	8.0	.352	5.1	5.9	.857	3.1	3.3	0.6	4.5	5.0	7.5	1.4	0.4	19.4
3	Fred VanVleet	TOR	SG	6-1	197	2/25/1994 (26)	3	54	35.7	5.9	14.3	.413	2.7	6.9	.390	3.1	3.7	.848	2.2	2.4	0.3	3.4	3.8	6.6	1.9	0.3	17.6
4	Norman Powell	TOR	SG	6-3	215	5/25/1993 (27)	4	52	28.4	5.7	11.5	.495	2.1	5.2	.399	2.5	2.9	.843	1.5	2.1	0.5	3.2	3.7	1.8	1.2	0.4	16.0
5	Serge Ibaka	TOR	PF	7-0	235	9/18/1989 (31)	10	55	27.0	6.2	12.2	.512	1.3	3.3	.385	1.6	2.3	.718	2.0	2.8	2.1	6.1	8.2	1.4	0.5	0.8	15.4
6	Ogugua Anunoby	TOR	SF	6-7	232	7/17/1997 (23)	2	69	29.9	4.1	8.2	.505	1.3	3.3	.390	1.0	1.5	.706	1.1	2.4	1.2	4.1	5.3	1.6	1.4	0.7	10.6
7	Terence Davis	TOR	SG	6-4	201	5/16/1997 (23)	R	72	16.8	2.8	6.1	.456	1.3	3.4	.388	0.7	0.8	.864	1.1	1.7	0.7	2.6	3.3	1.6	0.5	0.2	7.5
8	Marc Gasol	TOR	C	6-11	255	1/29/1985 (35)	11	44	26.4	2.7	6.3	.427	1.3	3.4	.385	0.8	1.1	.735	1.3	2.8	0.7	5.5	6.2	3.3	0.8	0.9	7.5
9	Rondae Hollis-Jefferson	TOR	SF	6-6	217	1/3/1995 (25)	4	60	18.7	2.6	5.5	.471	0.1	0.4	.130	1.8	2.4	.734	1.0	1.9	1.8	2.9	4.7	1.8	0.8	0.4	7.0
10	Chris Boucher	TOR	PF	6-9	200	1/11/1993 (27)	2	62	13.2	2.3	4.8	.472	0.6	1.9	.322	1.5	1.9	.784	0.5	1.8	1.7	2.7	4.5	0.4	0.4	1.0	6.6
11	Matt Thomas	TOR	SG	6-4	190	8/4/1994 (26)	R	41	10.7	1.8	3.7	.487	1.1	2.4	.475	0.2	0.3	.750	0.4	0.9	0.2	1.3	1.5	0.5	0.2	0.0	4.9
12	Patrick McCaw	TOR	SF	6-7	181	10/25/1995 (24)	3	37	24.5	1.8	4.4	.414	0.6	1.9	.324	0.4	0.5	.722	0.8	1.6	0.5	1.8	2.3	2.1	1.1	0.1	4.6
13	Paul Watson	TOR	SF	6-6	210	12/30/1994 (25)	R	8	8.7	1.2	2.4	.526	0.5	1.1	.444	0.9	1.1	.778	0.4	0.5	0.2	1.6	1.9	0.6	0.4	0.1	3.9
14	Stanley Johnson	TOR	SF	6-6	242	5/29/1996 (24)	4	25	6.0	0.9	2.4	.373	0.3	1.0	.292	0.4	0.6	.562	0.6	0.6	0.3	1.2	1.5	0.8	0.2	0.2	2.4
15	Dewan Hernandez	TOR	C	6-10	235	12/9/1996 (23)	R	6	4.7	0.8	2.3	.357	0.2	0.3	.500	0.5	0.8	.600	0.5	1.0	0.8	1.5	2.3	0.5	0.2	0.0	2.3
16	Shamorie Ponds	TOR						4	2.6	0.8	1.2	.600	0.2	0.5	.500	0.5	0.5	1.000	0.0	0.5	0.0	0.2	0.2	0.5	0.0	0.2	2.2
17	OShae Brissett	TOR	SF	6-7	210	6/20/1998 (22)	R	19	7.1	0.7	1.9	.361	0.2	0.8	.200	0.4	0.5	.800	0.4	0.9	0.5	0.9	1.4	0.4	0.2	0.1	1.9
18	Malcolm Miller	TOR	SG	6-7	210	3/6/1993 (27)	2	28	5.8	0.4	1.0	.414	0.3	0.8	.364	0.1	0.3	.375	0.1	0.6	0.1	0.5	0.6	0.4	0.2	0.1	1.2
